#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
 20260905    03:41:17       0     71     28     34      0      0      0      0      0      0   2619    345      0      1      0 
 20260905    03:41:17       1     98     25     33      0      0      0      0      0      0   2619   1590      0      1      0 
 20260905    03:41:22       0     71     28     34      0      0      0      0      0      0   2619    345      0      1      0 
 20260905    03:41:22       1     99     25     32      0      0      0      0      0      0   2619   1590      0      1      0 
 20260905    03:41:27       0     71     29     34      0      0      0      0      0      0   2619    345      0      1      0 
 20260905    03:41:27       1     98     25     32      0      0      0      0      0      0   2619   1590      0      1      0 
 20260905    03:41:32       0     71     30     34      0      0      0      0      0      0   2619    345      0      1      0 
 20260905    03:41:32       1     98     25     32      0      0      0      0      0      0   2619   1590      0      1      0 
 20260905    03:41:37       0     71     30     36      0      0      0      0      0      0   2619    345      0      1      0 
 20260905    03:41:37       1     98     25     32      0      0      0      0      0      0   2619   1590      0      1      0 
 20260905    03:41:42       0     71     30     36      0      0      0      0      0      0   2619    345      4      4      0 
 20260905    03:41:42       1     98     25     33      0      0      0      0      0      0   2619   1590      0      1      0 
 20260905    03:41:47       0     71     31     36      0      0      0      0      0      0   2619    345      4      4      0 
 20260905    03:41:47       1     98     25     33      0      0      0      0      0      0   2619   1590      0      1      0 
 20260905    03:41:52       0     71     31     36      0      0      0      0      0      0   2619    345      4      4      0 
 20260905    03:41:52       1     99     25     32      0      0      0      0      0      0   2619   1590      0      1      0 
 20260905    03:41:57       0     71     31     37      0      0      0      0      0      0   2619    345      4      4      0 
 20260905    03:41:57       1     99     25     33      0      0      0      0      0      0   2619   1590      0      1      0 
 20260905    03:42:02       0     71     30     36      0      0      0      0      0      0   2619    345      4      4      0 
 20260905    03:42:02       1     99     25     32      0      0      0      0      0      0   2619   1590      0      1      0 
 20260905    03:42:07       0     71     30     36      0      0      0      0      0      0   2619    345      4      4      0 
 20260905    03:42:07       1     99     25     33      0      0      0      0      0      0   2619   1590      0      1      0 
 20260905    03:42:12       0     71     29     34      0      0      0      0      0      0   2619    345      4      4      0 
 20260905    03:42:12       1     99     25     34      0      0      0      0      0      0   2619   1590      4      4      0 
 20260905    03:42:17       0     71     29     34      0      0      0      0      0      0   2619    345      4      4      0 
 20260905    03:42:17       1     97     25     34      6      0      0      0      0      0   2619   1590   8555   8556      0 
 20260905    03:42:22       0     71     29     34      0      0      0      0      0      0   2619    345      4      4      0 
 20260905    03:42:22       1     96     25     33      0      0      0      0      0      0   2619   1590   8667   8668      0 
 20260905    03:42:27       0    118     30     34      0      0      0      0      0      0   2619   1980   8649   8650      0 
 20260905    03:42:27       1    365     30     38     76     37      0      0      0      0   2619   1590  11447  11448      0 
 20260905    03:42:32       0    118     30     34      0      0      0      0      0      0   2619   1980   9165   9166      0 
 20260905    03:42:32       1    273     28     36      0      0      0      0      0      0   2619   1590  11447  11448      0 
 20260905    03:42:37       0    137     30     34     33      6      0      0      0      0   2619   1980   9335   9336      0 
 20260905    03:42:37       1     96     26     34      0      0      0      0      0      0   2619   1590  11447  11448      0 
 20260905    03:42:42       0     87     28     35      0      0      0      0      0      0   2619    480      0      1      0 
 20260905    03:42:42       1    381     34     42     79     38      0      0      0      0   2619   1590  11447  11448      0 
 20260905    03:42:47       0     71     28     35      0      0      0      0      0      0   2619    345      0      1      0 
 20260905    03:42:47       1     97     27     34      0      0      0      0      0      0   2619   1590  11447  11448      0 
 20260905    03:42:52       0     71     29     34      0      0      0      0      0      0   2619    345      0      1      0 
 20260905    03:42:52       1     99     26     34      0      0      0      0      0      0   2619   1590      0      1      0 
 20260905    03:42:57       0     71     29     35      0      0      0      0      0      0   2619    345      0      1      0 
 20260905    03:42:57       1     99     26     34      0      0      0      0      0      0   2619   1590      0      1      0 
 20260905    03:43:02       0     71     30     35      0      0      0      0      0      0   2619    345      4      4      0 
 20260905    03:43:02       1     98     26     34      0      0      0      0      0      0   2619   1590      0      1      0 
#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
 20260905    03:43:07       0     71     30     36      0      0      0      0      0      0   2619    345      4      4      0 
 20260905    03:43:07       1     98     25     34      0      0      0      0      0      0   2619   1590      0      1      0 
 20260905    03:43:12       0     71     30     36      0      0      0      0      0      0   2619    345      4      4      0 
 20260905    03:43:12       1     98     25     34      0      0      0      0      0      0   2619   1590      0      1      0 
 20260905    03:43:17       0     71     31     36      0      0      0      0      0      0   2619    345      4      4      0 
 20260905    03:43:17       1     98     25     34      0      0      0      0      0      0   2619   1590      0      1      0 
 20260905    03:43:22       0     71     31     36      0      0      0      0      0      0   2619    345      4      4      0 
 20260905    03:43:22       1     98     25     34      0      0      0      0      0      0   2619   1590      0      1      0 
 20260905    03:43:27       0     71     31     36      0      0      0      0      0      0   2619    345      4      4      0 
 20260905    03:43:27       1     98     25     34      0      0      0      0      0      0   2619   1590      0      1      0 
 20260905    03:43:32       0     71     31     36      0      0      0      0      0      0   2619    345      4      4      0 
