C_masked_s1 cosines p1/p2 (neutral | math):
  . C_s0         0.321 / 0.268 | 0.278 / 0.533
  . C_s1         0.323 / 0.287 | 0.257 / 0.523
  . C_masked_s0  0.735 / 0.698 | 0.646 / 0.861
  . A_s0         0.587 / 0.552 | 0.581 / 0.714
  . A_s1         0.465 / 0.450 | 0.503 / 0.685
  . D_math       0.211 / 0.161 | 0.227 / 0.371
  . D_math_full  0.263 / 0.179 | 0.139 / 0.341
  . D            0.097 / 0.075 | -0.045 / 0.030
  . B            0.059 / 0.071 | 0.212 / 0.127
  . C_scrambled_s0 0.228 / 0.192 | 0.182 / 0.406
  . C_shifted_s0 0.374 / 0.298 | 0.367 / 0.581
C_scrambled_s0 cosines p1/p2 (neutral | math):
  . C_s0         0.425 / 0.344 | 0.639 / 0.562
  . C_s1         0.411 / 0.345 | 0.635 / 0.585
  . C_masked_s0  0.199 / 0.127 | 0.242 / 0.440
  . A_s0         0.125 / -0.022 | 0.055 / 0.245
  . A_s1         0.156 / 0.074 | 0.159 / 0.352
  . D_math       0.207 / 0.136 | 0.356 / 0.517
  . D_math_full  0.316 / 0.215 | 0.448 / 0.477
  . D            0.141 / 0.136 | 0.325 / 0.098
  . B            0.080 / 0.169 | 0.142 / 0.093
  . C_masked_s1  0.228 / 0.192 | 0.182 / 0.406
  . C_shifted_s0 0.380 / 0.464 | 0.475 / 0.616
C_shifted_s0 cosines p1/p2 (neutral | math):
  . C_s0         0.596 / 0.458 | 0.619 / 0.825
  . C_s1         0.578 / 0.481 | 0.587 / 0.835
  . C_masked_s0  0.368 / 0.259 | 0.545 / 0.626
  . A_s0         0.325 / 0.147 | 0.381 / 0.543
  . A_s1         0.251 / 0.192 | 0.392 / 0.594
  . D_math       0.324 / 0.198 | 0.368 / 0.601
  . D_math_full  0.567 / 0.358 | 0.392 / 0.662
  . D            0.173 / 0.105 | -0.008 / -0.002
  . B            0.121 / 0.182 | 0.134 / 0.089
  . C_masked_s1  0.374 / 0.298 | 0.367 / 0.581
  . C_scrambled_s0 0.380 / 0.464 | 0.475 / 0.616
wrote results/perposition_table_R2_cosine.csv results/perposition_table_R2.csv
