#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
 20260905    03:21:23       0     75     41     43      0      0      0      0      0      0   2619    345      0      1      0 
 20260905    03:21:23       1     72     37     40      0      0      0      0      0      0   2619    345      0      1      0 
 20260905    03:21:28       0     76     41     43      0      0      0      0      0      0   2619    345      0      1      0 
 20260905    03:21:28       1     72     37     40      0      0      0      0      0      0   2619    345      0      1      0 
 20260905    03:21:33       0     75     41     43      0      0      0      0      0      0   2619    345      4      5      0 
 20260905    03:21:33       1    124     39     40      0      0      0      0      0      0   2619   1980   8667   8668      0 
 20260905    03:21:38       0    127     43     44      0      0      0      0      0      0   2619   1980    527    528      0 
 20260905    03:21:38       1    500     47     49    100     51      0      0      0      0   2619   1965  11447  11448      0 
 20260905    03:21:43       0    127     43     43      0      0      0      0      0      0   2619   1980    527    528      0 
 20260905    03:21:43       1    136     41     43      0      0      0      0      0      0   2619   1980  11447  11448      0 
 20260905    03:21:48       0    135     43     43      0      0      0      0      0      0   2619   1980   9915   9916      0 
 20260905    03:21:48       1    226     44     46      0      0      0      0      0      0   2619   1980  11447  11448      0 
 20260905    03:21:53       0    264     45     45      0      0      0      0      0      0   2619   1980  14535  14536      0 
 20260905    03:21:53       1     74     41     44      0      0      0      0      0      0   2619    420      0      1      0 
 20260905    03:21:58       0    353     49     53     95     57      0      0      0      0   2619   1980  14539  14540      0 
 20260905    03:21:58       1     72     40     42      0      0      0      0      0      0   2619    345      0      1      0 
 20260905    03:22:03       0    237     48     51     86     75      0      0      0      0   2619   1980  14791  14792      0 
 20260905    03:22:03       1     73     39     43      0      0      0      0      0      0   2619    345      0      1      0 
 20260905    03:22:08       0    428     49     53    100     67      0      0      0      0   2619   1980  14791  14792      0 
 20260905    03:22:08       1     73     39     42      0      0      0      0      0      0   2619    345      0      1      0 
 20260905    03:22:13       0    333     49     53     93     55      0      0      0      0   2619   1980  14795  14796      0 
