#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
 20260905    00:48:55       0     73     50     52      0      0      0      0      0      0   2619    345      0      1      0 
 20260905    00:48:55       1     70     30     34      0      0      0      0      0      0   2619    345      0      1      0 
 20260905    00:49:00       0     73     50     52      0      0      0      0      0      0   2619    345      4      5      0 
 20260905    00:49:00       1     70     30     34      0      0      0      0      0      0   2619    345      0      1      0 
 20260905    00:49:05       0     74     50     52      0      0      0      0      0      0   2619    345      4      5      0 
 20260905    00:49:05       1    117     31     34      0      0      0      0      0      0   2619   1980   8667   8668      0 
 20260905    00:49:10       0    129     52     52      0      0      0      0      0      0   2619   1980    527    528      0 
 20260905    00:49:10       1    480     42     44     76     39      0      0      0      0   2619   1980  11447  11448      0 
 20260905    00:49:15       0    129     52     52      0      0      0      0      0      0   2619   1980    527    528      0 
 20260905    00:49:15       1    361     42     44     76     39      0      0      0      0   2619   1980  11447  11448      0 
 20260905    00:49:20       0    163     55     56     69     34      0      0      0      0   2619   1980  10199  10200      0 
 20260905    00:49:20       1    119     36     38      0      0      0      0      0      0   2619   1980  11447  11448      0 
 20260905    00:49:25       0    184     53     54      0      0      0      0      0      0   2619   1980  15683  15684      0 
 20260905    00:49:25       1     71     33     36      0      0      0      0      0      0   2619    345      0      1      0 
 20260905    00:49:30       0    400     60     63     97     58      0      0      0      0   2619   1980  15705  15706      0 
 20260905    00:49:30       1     70     32     36      0      0      0      0      0      0   2619    345      0      1      0 
 20260905    00:49:35       0    224     56     57      0      0      0      0      0      0   2619   1980  15709  15710      0 
 20260905    00:49:35       1     70     32     36      0      0      0      0      0      0   2619    345      0      1      0 
 20260905    00:49:40       0    356     61     64     86     47      0      0      0      0   2619   1980  15711  15712      0 
 20260905    00:49:40       1     70     31     35      0      0      0      0      0      0   2619    345      0      1      0 
 20260905    00:49:45       0    326     62     64     70     59      0      0      0      0   2619   1980  15713  15714      0 
 20260905    00:49:45       1     70     31     35      0      0      0      0      0      0   2619    345      0      1      0 
 20260905    00:49:50       0    336     61     63     43     21      0      0      0      0   2619   1980  15713  15714      0 
 20260905    00:49:50       1     70     31     35      0      0      0      0      0      0   2619    345      0      1      0 
 20260905    00:49:55       0    391     64     68     94     56      0      0      0      0   2619   1980  15717  15718      0 
 20260905    00:49:55       1     70     31     34      0      0      0      0      0      0   2619    345      0      1      0 
 20260905    00:50:00       0    298     60     61      0      0      0      0      0      0   2619   1980  15717  15718      0 
 20260905    00:50:00       1     70     31     34      0      0      0      0      0      0   2619    345      0      1      0 
 20260905    00:50:05       0    330     64     66     70     32      0      0      0      0   2619   1980  15723  15724      0 
 20260905    00:50:05       1     70     30     34      0      0      0      0      0      0   2619    345      0      1      0 
 20260905    00:50:10       0    360     64     67     82     45      0      0      0      0   2619   1980  15725  15726      0 
 20260905    00:50:10       1     70     30     34      0      0      0      0      0      0   2619    345      0      1      0 
 20260905    00:50:15       0    371     64     66     81     44      0      0      0      0   2619   1980  15725  15726      0 
 20260905    00:50:15       1     70     30     34      0      0      0      0      0      0   2619    345      0      1      0 
 20260905    00:50:20       0    346     63     66     54     32      0      0      0      0   2619   1980  15727  15728      0 
 20260905    00:50:20       1     70     30     34      0      0      0      0      0      0   2619    345      0      1      0 
 20260905    00:50:25       0    360     63     65      0      0      0      0      0      0   2619   1980  15729  15730      0 
 20260905    00:50:25       1     70     30     34      0      0      0      0      0      0   2619    345      0      1      0 
 20260905    00:50:30       0    370     65     67     74     36      0      0      0      0   2619   1980  15731  15732      0 
 20260905    00:50:30       1     70     30     34      0      0      0      0      0      0   2619    345      0      1      0 
 20260905    00:50:35       0    376     65     68     44     22      0      0      0      0   2619   1980  15731  15732      0 
 20260905    00:50:35       1     70     30     34      0      0      0      0      0      0   2619    345      0      1      0 
 20260905    00:50:40       0    433     67     71    100     67      0      0      0      0   2619   1980  15731  15732      0 
 20260905    00:50:40       1     70     30     34      0      0      0      0      0      0   2619    345      0      1      0 
#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
 20260905    00:50:45       0    343     66     68     79     42      0      0      0      0   2619   1980  15733  15734      0 
 20260905    00:50:45       1     70     30     34      0      0      0      0      0      0   2619    345      0      1      0 
 20260905    00:50:50       0    376     67     72    100     63      0      0      0      0   2619   1980  15737  15738      0 
 20260905    00:50:50       1     70     30     34      0      0      0      0      0      0   2619    345      0      1      0 
 20260905    00:50:55       0    358     67     71     88     75      0      0      0      0   2619   1980  15737  15738      0 
 20260905    00:50:55       1     70     30     34      0      0      0      0      0      0   2619    345      0      1      0 
 20260905    00:51:00       0    350     65     66     45     19      0      0      0      0   2619   1980  15739  15740      0 
 20260905    00:51:00       1     70     30     34      0      0      0      0      0      0   2619    345      0      1      0 
 20260905    00:51:05       0    344     64     66     48     26      0      0      0      0   2619   1980  15739  15740      0 
 20260905    00:51:05       1     70     30     34      0      0      0      0      0      0   2619    345      0      1      0 
 20260905    00:51:10       0    382     67     70     83     45      0      0      0      0   2619   1980  15741  15742      0 
 20260905    00:51:10       1     70     30     34      0      0      0      0      0      0   2619    345      0      1      0 
 20260905    00:51:15       0    373     67     70     95     56      0      0      0      0   2619   1980  15743  15744      0 
 20260905    00:51:15       1     70     30     34      0      0      0      0      0      0   2619    345      0      1      0 
 20260905    00:51:20       0    414     67     72     94     55      0      0      0      0   2619   1980  15743  15744      0 
 20260905    00:51:20       1     70     30     34      0      0      0      0      0      0   2619    345      0      1      0 
 20260905    00:51:25       0    362     67     71     77     46      0      0      0      0   2619   1980  15747  15748      0 
 20260905    00:51:25       1     70     30     34      0      0      0      0      0      0   2619    345      0      1      0 
 20260905    00:51:30       0    326     65     67     43     20      0      0      0      0   2619   1980  15747  15748      0 
 20260905    00:51:30       1     70     30     34      0      0      0      0      0      0   2619    345      0      1      0 
 20260905    00:51:35       0    361     65     67     41     18      0      0      0      0   2619   1980  15747  15748      0 
 20260905    00:51:35       1     70     30     34      0      0      0      0      0      0   2619    345      0      1      0 
 20260905    00:51:40       0    371     66     68     28     13      0      0      0      0   2619   1980  15747  15748      0 
 20260905    00:51:40       1     70     30     34      0      0      0      0      0      0   2619    345      0      1      0 
 20260905    00:51:45       0    393     67     70     84     46      0      0      0      0   2619   1980  15749  15750      0 
 20260905    00:51:45       1     70     30     34      0      0      0      0      0      0   2619    345      0      1      0 
 20260905    00:51:50       0    378     66     69     83     45      0      0      0      0   2619   1980  15749  15750      0 
 20260905    00:51:50       1     70     30     34      0      0      0      0      0      0   2619    345      0      1      0 
 20260905    00:51:55       0    323     66     70     81     44      0      0      0      0   2619   1980  15751  15752      0 
 20260905    00:51:55       1     70     30     34      0      0      0      0      0      0   2619    345      0      1      0 
 20260905    00:52:00       0    367     68     71     84     47      0      0      0      0   2619   1980  15751  15752      0 
 20260905    00:52:00       1     70     30     34      0      0      0      0      0      0   2619    345      0      1      0 
