#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
 20260904    22:16:00       0     69     28     35      0      0      0      0      0      0   2619    345      0      1      0 
 20260904    22:16:00       1     72     30     37      0      0      0      0      0      0   2619    345      0      1      0 
 20260904    22:16:05       0     69     28     36      0      0      0      0      0      0   2619    345      4      5      0 
 20260904    22:16:05       1     72     30     38      0      0      0      0      0      0   2619    345      0      1      0 
 20260904    22:16:10       0     69     28     35      0      0      0      0      0      0   2619    345     22     23      0 
 20260904    22:16:10       1    114     32     37      0      0      0      0      0      0   2619   1980   8667   8668      0 
 20260904    22:16:15       0    115     29     37      0      0      0      0      0      0   2619   1980    527    528      0 
 20260904    22:16:15       1    457     40     46     65     33      0      0      0      0   2619   1980  11447  11448      0 
 20260904    22:16:20       0    116     29     37     17      0      0      0      0      0   2619   1980   5325   5326      0 
 20260904    22:16:20       1    370     40     46    100     52      0      0      0      0   2619   1980  11447  11448      0 
 20260904    22:16:25       0    177     33     43     75     41      0      0      0      0   2619   1980  14081  14082      0 
 20260904    22:16:25       1    117     35     41      0      0      0      0      0      0   2619   1980  11447  11448      0 
 20260904    22:16:30       0    252     36     46     83     47      0      0      0      0   2619   1980  14535  14536      0 
 20260904    22:16:30       1     73     33     41      0      0      0      0      0      0   2619    345      0      1      0 
 20260904    22:16:35       0    378     38     49     46     30      0      0      0      0   2619   1980  14661  14662      0 
 20260904    22:16:35       1     72     33     39      0      0      0      0      0      0   2619    345      0      1      0 
 20260904    22:16:40       0    318     39     49     58     54      0      0      0      0   2619   1980  14791  14792      0 
 20260904    22:16:40       1     72     32     39      0      0      0      0      0      0   2619    345      0      1      0 
 20260904    22:16:45       0    347     38     46     86     52      0      0      0      0   2619   1980  14795  14796      0 
 20260904    22:16:45       1     72     32     39      0      0      0      0      0      0   2619    345      0      1      0 
 20260904    22:16:50       0    337     39     47     71     38      0      0      0      0   2619   1980  14795  14796      0 
 20260904    22:16:50       1     72     31     39      0      0      0      0      0      0   2619    345      0      1      0 
 20260904    22:16:55       0    348     41     52     80     42      0      0      0      0   2619   1980  14797  14798      0 
 20260904    22:16:55       1     72     31     39      0      0      0      0      0      0   2619    345      0      1      0 
 20260904    22:17:00       0    382     39     49     95     58      0      0      0      0   2619   1980  14799  14800      0 
 20260904    22:17:00       1     72     31     39      0      0      0      0      0      0   2619    345      0      1      0 
 20260904    22:17:05       0    225     35     43      0      0      0      0      0      0   2619   1980  14799  14800      0 
 20260904    22:17:05       1     71     31     39      0      0      0      0      0      0   2619    345      0      1      0 
 20260904    22:17:10       0    400     42     54    100     70      0      0      0      0   2619   1980  14801  14802      0 
 20260904    22:17:10       1     72     31     39      0      0      0      0      0      0   2619    345      0      1      0 
 20260904    22:17:15       0    354     40     50     34     17      0      0      0      0   2619   1980  14807  14808      0 
 20260904    22:17:15       1     71     31     39      0      0      0      0      0      0   2619    345      0      1      0 
 20260904    22:17:20       0    356     41     53     91     55      0      0      0      0   2619   1980  14809  14810      0 
 20260904    22:17:20       1     71     31     37      0      0      0      0      0      0   2619    345      0      1      0 
 20260904    22:17:25       0    339     39     49     90     54      0      0      0      0   2619   1980  14809  14810      0 
 20260904    22:17:25       1     71     31     39      0      0      0      0      0      0   2619    345      0      1      0 
 20260904    22:17:30       0    327     40     49     83     46      0      0      0      0   2619   1980  14809  14810      0 
 20260904    22:17:30       1     71     31     37      0      0      0      0      0      0   2619    345      0      1      0 
 20260904    22:17:35       0    346     41     52     91     55      0      0      0      0   2619   1980  14813  14814      0 
 20260904    22:17:35       1     71     31     38      0      0      0      0      0      0   2619    345      0      1      0 
 20260904    22:17:40       0    363     43     53     82     44      0      0      0      0   2619   1980  14813  14814      0 
 20260904    22:17:40       1     71     31     37      0      0      0      0      0      0   2619    345      0      1      0 
