item_id,which_is_correct,failure_mode,note
7,X,FORMAT,
8,X,REASONING,
15,Y,REASONING,
16,X,FORMAT,answer asserted without working then continued
20,X,FORMAT,
21,X,REASONING,
24,X,FORMAT,
30,Y,FORMAT,
33,Y,FORMAT,
38,Y,REASONING,
43,Y,FORMAT,
46,X,REASONING,
47,X,REASONING,
48,X,FORMAT,
49,Y,FORMAT,
50,X,FORMAT,
54,X,REASONING,
55,X,FORMAT,
56,Y,FORMAT,added after first pass; omitted in error
57,X,FORMAT,
59,Y,FORMAT,
60,X,FORMAT,
63,X,FORMAT,
70,X,REASONING,
71,Y,FORMAT,
73,Y,FORMAT,
74,Y,REASONING,
75,Y,REASONING,
78,X,FORMAT,
82,Y,FORMAT,
83,X,FORMAT,
84,Y,FORMAT,
89,Y,REASONING,
94,Y,FORMAT,
97,X,REASONING,
104,Y,FORMAT,
106,Y,REASONING,
107,Y,REASONING,
113,Y,FORMAT,
116,Y,FORMAT,
118,X,FORMAT,
120,X,FORMAT,
122,X,REASONING,
127,Y,FORMAT,
131,X,FORMAT,
138,X,REASONING,
139,X,FORMAT,
140,X,FORMAT,
142,Y,FORMAT,
143,X,REASONING,taxed food items; gold 16 vs 16.5
145,Y,FORMAT,
147,X,REASONING,
151,Y,REASONING,
152,X,FORMAT,
153,X,REASONING,
157,X,REASONING,
163,Y,REASONING,
164,Y,REASONING,
167,X,FORMAT,
169,X,FORMAT,
170,X,FORMAT,
175,X,REASONING,
184,Y,FORMAT,
186,X,REASONING,revised from FORMAT: missed hamsters kept alone; underdetermined setup; never stated an answer
191,Y,FORMAT,
193,Y,REASONING,
194,Y,FORMAT,
197,Y,FORMAT,
