max_new,parse,arm_x,arm_y,n,acc_x,acc_y,both,x_only,y_only,neither,mcnemar_exact_p
512,last,A,B,200,0.94,0.075,13,175,2,10,0.0
512,first,A,B,200,0.935,0.04,8,179,0,13,0.0
512,last,A,C,200,0.94,0.93,181,7,5,7,0.77441
512,first,A,C,200,0.935,0.93,180,7,6,7,1.0
512,last,A,D_math_full,200,0.94,0.635,123,65,4,8,0.0
512,first,A,D_math_full,200,0.935,0.63,121,66,5,8,0.0
512,last,A,D_math,200,0.94,0.66,126,62,6,6,0.0
512,first,A,D_math,200,0.935,0.65,123,64,7,6,0.0
512,last,A,D,200,0.94,0.265,52,136,1,11,0.0
512,first,A,D,200,0.935,0.07,14,173,0,13,0.0
512,last,A,base,200,0.94,0.14,26,162,2,10,0.0
512,first,A,base,200,0.935,0.07,14,173,0,13,0.0
512,last,B,C,200,0.075,0.93,14,1,172,13,0.0
512,first,B,C,200,0.04,0.93,8,0,178,14,0.0
512,last,B,D_math_full,200,0.075,0.635,8,7,119,66,0.0
512,first,B,D_math_full,200,0.04,0.63,7,1,119,73,0.0
512,last,B,D_math,200,0.075,0.66,9,6,123,62,0.0
512,first,B,D_math,200,0.04,0.65,6,2,124,68,0.0
512,last,B,D,200,0.075,0.265,6,9,47,138,0.0
512,first,B,D,200,0.04,0.07,1,7,13,179,0.26318
512,last,B,base,200,0.075,0.14,6,9,22,163,0.02945
512,first,B,base,200,0.04,0.07,2,6,12,180,0.23788
512,last,C,D_math_full,200,0.93,0.635,120,66,7,7,0.0
512,first,C,D_math_full,200,0.93,0.63,119,67,7,7,0.0
512,last,C,D_math,200,0.93,0.66,126,60,6,8,0.0
512,first,C,D_math,200,0.93,0.65,124,62,6,8,0.0
512,last,C,D,200,0.93,0.265,52,134,1,13,0.0
512,first,C,D,200,0.93,0.07,13,173,1,13,0.0
512,last,C,base,200,0.93,0.14,27,159,1,13,0.0
512,first,C,base,200,0.93,0.07,14,172,0,14,0.0
512,last,D_math_full,D_math,200,0.635,0.66,117,10,15,58,0.42436
512,first,D_math_full,D_math,200,0.63,0.65,117,9,13,61,0.52347
512,last,D_math_full,D,200,0.635,0.265,43,84,10,63,0.0
512,first,D_math_full,D,200,0.63,0.07,12,114,2,72,0.0
512,last,D_math_full,base,200,0.635,0.14,18,109,10,63,0.0
512,first,D_math_full,base,200,0.63,0.07,11,115,3,71,0.0
512,last,D_math,D,200,0.66,0.265,44,88,9,59,0.0
512,first,D_math,D,200,0.65,0.07,11,119,3,67,0.0
512,last,D_math,base,200,0.66,0.14,20,112,8,60,0.0
512,first,D_math,base,200,0.65,0.07,11,119,3,67,0.0
512,last,D,base,200,0.265,0.14,5,48,23,124,0.00407
512,first,D,base,200,0.07,0.07,3,11,11,175,1.0
256,last,D,base,200,0.25,0.15,7,43,23,127,0.01866
256,first,D,base,200,0.07,0.065,3,11,10,176,1.0
