arm,seed,step,set,position,raw_norm,constancy,cos_to_ref_same_pos,ref,reward_at_step,truncation_at_step,mean_length_at_step
A_early,1,2,neutral,1,0.032279446721076965,0.05280604958534241,0.17987538874149323,A@150,0.2305,0.4922,377.2
A_early,1,4,neutral,1,0.037005867809057236,0.06269752979278564,0.2929328680038452,A@150,0.6914,0.1055,199.7
A_early,1,6,neutral,1,0.04107608646154404,0.06846452504396439,0.2869979739189148,A@150,0.7266,0.03125,163.8
A_early,1,8,neutral,1,0.050683896988630295,0.08685611188411713,0.3969135880470276,A@150,0.7422,0.007812,157.9
A_early,1,10,neutral,1,0.05421563610434532,0.09305473417043686,0.5182737112045288,A@150,0.8516,0.003906,127.6
A_early,1,15,neutral,1,0.06385131180286407,0.1032259538769722,0.47947242856025696,A@150,0.8086,0.0,133.2
A_early,1,20,neutral,1,0.07405299693346024,0.12020177394151688,0.5618821382522583,A@150,0.8633,0.0,122.8
A_early,1,25,neutral,1,0.0725872740149498,0.12041881680488586,0.5877321362495422,A@150,0.8672,0.0,134.3
A_early,1,30,neutral,1,0.07529649138450623,0.12366969138383865,0.6032569408416748,A@150,0.8125,0.007812,155.3
A_early,1,2,neutral,2,0.0354146733880043,0.0529048889875412,0.2074272334575653,A@150,0.2305,0.4922,377.2
A_early,1,4,neutral,2,0.04192841798067093,0.06271196156740189,0.23667213320732117,A@150,0.6914,0.1055,199.7
A_early,1,6,neutral,2,0.05173120275139809,0.07652359455823898,0.32084742188453674,A@150,0.7266,0.03125,163.8
A_early,1,8,neutral,2,0.0549565888941288,0.07934881746768951,0.41732051968574524,A@150,0.7422,0.007812,157.9
A_early,1,10,neutral,2,0.06504350900650024,0.0899031013250351,0.4097653925418854,A@150,0.8516,0.003906,127.6
A_early,1,15,neutral,2,0.0705261081457138,0.0922810286283493,0.45619893074035645,A@150,0.8086,0.0,133.2
A_early,1,20,neutral,2,0.07389762997627258,0.09451352804899216,0.49288174510002136,A@150,0.8633,0.0,122.8
A_early,1,25,neutral,2,0.07714644819498062,0.09892041236162186,0.5098537802696228,A@150,0.8672,0.0,134.3
A_early,1,30,neutral,2,0.0793406218290329,0.10036041587591171,0.49620380997657776,A@150,0.8125,0.007812,155.3
A_early,1,2,math,1,0.13118189573287964,0.5335283279418945,0.3454895615577698,A@150,0.2305,0.4922,377.2
A_early,1,4,math,1,0.16728493571281433,0.3422655761241913,0.2452903836965561,A@150,0.6914,0.1055,199.7
A_early,1,6,math,1,0.17634464800357819,0.4687689244747162,0.3400079011917114,A@150,0.7266,0.03125,163.8
A_early,1,8,math,1,0.17927035689353943,0.6087886691093445,0.510068416595459,A@150,0.7422,0.007812,157.9
A_early,1,10,math,1,0.19298507273197174,0.5121145248413086,0.49942344427108765,A@150,0.8516,0.003906,127.6
A_early,1,15,math,1,0.2044844925403595,0.623041570186615,0.5766680240631104,A@150,0.8086,0.0,133.2
A_early,1,20,math,1,0.23133918642997742,0.6662823557853699,0.5722162127494812,A@150,0.8633,0.0,122.8
A_early,1,25,math,1,0.23079779744148254,0.5618237257003784,0.60114586353302,A@150,0.8672,0.0,134.3
A_early,1,30,math,1,0.23376266658306122,0.5746538043022156,0.6162571907043457,A@150,0.8125,0.007812,155.3
A_early,1,2,math,2,0.04411792755126953,0.09811928868293762,0.18294595181941986,A@150,0.2305,0.4922,377.2
A_early,1,4,math,2,0.06326600164175034,0.1407620906829834,0.5127971172332764,A@150,0.6914,0.1055,199.7
A_early,1,6,math,2,0.08574243634939194,0.17640192806720734,0.6005759835243225,A@150,0.7266,0.03125,163.8
A_early,1,8,math,2,0.10367942601442337,0.1809995025396347,0.6592214107513428,A@150,0.7422,0.007812,157.9
A_early,1,10,math,2,0.12069594115018845,0.2051377296447754,0.7016510367393494,A@150,0.8516,0.003906,127.6
A_early,1,15,math,2,0.1604137122631073,0.2067195028066635,0.7275565266609192,A@150,0.8086,0.0,133.2
A_early,1,20,math,2,0.18604886531829834,0.20949600636959076,0.7369503974914551,A@150,0.8633,0.0,122.8
A_early,1,25,math,2,0.19097411632537842,0.21270793676376343,0.750386118888855,A@150,0.8672,0.0,134.3
A_early,1,30,math,2,0.18971207737922668,0.20432500541210175,0.740595817565918,A@150,0.8125,0.007812,155.3
