arm,step,set,position,raw_norm,constancy,base_constancy,excess_constancy,base_norm,n,split_half_floor,cos_halves
N1_halves,0,neutral,0,0.32442015409469604,,0.9593096971511841,,20.752077102661133,500,,
A,150,neutral,0,0.18404169380664825,0.5248327255249023,0.9593096971511841,-0.43447697162628174,20.752077102661133,500,0.022200731560587883,0.9938648343086243
A_seed1,150,neutral,0,0.21163372695446014,0.5640494227409363,0.9593096971511841,-0.3952602744102478,20.752077102661133,500,0.021024959161877632,0.9963157773017883
A@25,25,neutral,0,0.11742627620697021,0.3373156785964966,0.9593096971511841,-0.6219940185546875,20.752077102661133,500,0.024939289316534996,0.9807862639427185
A_seed1@25,25,neutral,0,0.11826714873313904,0.35491102933883667,0.9593096971511841,-0.6043986678123474,20.752077102661133,500,0.0179283507168293,0.990308940410614
A@50,50,neutral,0,0.14493881165981293,0.4078115224838257,0.9593096971511841,-0.5514981746673584,20.752077102661133,500,0.021371081471443176,0.9899512529373169
A_seed1@50,50,neutral,0,0.17323017120361328,0.5150130391120911,0.9593096971511841,-0.444296658039093,20.752077102661133,500,0.018250521272420883,0.9955410361289978
A@75,75,neutral,0,0.16359546780586243,0.46303418278694153,0.9593096971511841,-0.49627551436424255,20.752077102661133,500,0.012086666189134121,0.997317910194397
A_seed1@75,75,neutral,0,0.21562576293945312,0.5604013800621033,0.9593096971511841,-0.3989083170890808,20.752077102661133,500,0.030147168785333633,0.9939148426055908
A@100,100,neutral,0,0.177472323179245,0.5108088850975037,0.9593096971511841,-0.4485008120536804,20.752077102661133,500,0.021540574729442596,0.9934378862380981
A_seed1@100,100,neutral,0,0.20231744647026062,0.5601931214332581,0.9593096971511841,-0.399116575717926,20.752077102661133,500,0.01937056891620159,0.9962912797927856
A@125,125,neutral,0,0.18517622351646423,0.5157032012939453,0.9593096971511841,-0.44360649585723877,20.752077102661133,500,0.02333029918372631,0.9931870102882385
A_seed1@125,125,neutral,0,0.20853625237941742,0.5627300143241882,0.9593096971511841,-0.39657968282699585,20.752077102661133,500,0.018599139526486397,0.9967060685157776
N1_halves,0,neutral,1,0.7467716336250305,,0.4127209782600403,,12.545119285583496,500,,
A,150,neutral,1,0.20970074832439423,0.2582438588142395,0.4127209782600403,-0.15447711944580078,12.545119285583496,500,0.02938399463891983,0.9929803013801575
