set,position,x,y,cos
neutral,0,A,A_seed1,0.5928462147712708
neutral,0,A,A@25,0.8793743848800659
neutral,0,A,A_seed1@25,0.5225540399551392
neutral,0,A,A@50,0.9290323257446289
neutral,0,A,A_seed1@50,0.564094066619873
neutral,0,A,A@75,0.9700326323509216
neutral,0,A,A_seed1@75,0.6009745001792908
neutral,0,A,A@100,0.9888994097709656
neutral,0,A,A_seed1@100,0.5785008668899536
neutral,0,A,A@125,0.9947641491889954
neutral,0,A,A_seed1@125,0.5799987316131592
neutral,0,A,N1_halves,-0.34939661622047424
neutral,0,A_seed1,A@25,0.5177704691886902
neutral,0,A_seed1,A_seed1@25,0.865537166595459
neutral,0,A_seed1,A@50,0.48890843987464905
neutral,0,A_seed1,A_seed1@50,0.9499529600143433
neutral,0,A_seed1,A@75,0.5397858023643494
neutral,0,A_seed1,A_seed1@75,0.977744460105896
neutral,0,A_seed1,A@100,0.5735542178153992
neutral,0,A_seed1,A_seed1@100,0.9910368919372559
neutral,0,A_seed1,A@125,0.5903916954994202
neutral,0,A_seed1,A_seed1@125,0.995715856552124
neutral,0,A_seed1,N1_halves,-0.3637548089027405
neutral,0,A@25,A_seed1@25,0.4936573803424835
neutral,0,A@25,A@50,0.9299960732460022
neutral,0,A@25,A_seed1@50,0.49933719635009766
neutral,0,A@25,A@75,0.900306761264801
neutral,0,A@25,A_seed1@75,0.5310483574867249
neutral,0,A@25,A@100,0.8885297775268555
neutral,0,A@25,A_seed1@100,0.5038508176803589
neutral,0,A@25,A@125,0.8795546889305115
neutral,0,A@25,A_seed1@125,0.5053790807723999
neutral,0,A@25,N1_halves,-0.30237478017807007
neutral,0,A_seed1@25,A@50,0.45384296774864197
neutral,0,A_seed1@25,A_seed1@50,0.9225471615791321
neutral,0,A_seed1@25,A@75,0.48190754652023315
neutral,0,A_seed1@25,A_seed1@75,0.8803882002830505
neutral,0,A_seed1@25,A@100,0.507271945476532
neutral,0,A_seed1@25,A_seed1@100,0.8695372939109802
neutral,0,A_seed1@25,A@125,0.5219559073448181
neutral,0,A_seed1@25,A_seed1@125,0.8648225665092468
neutral,0,A_seed1@25,N1_halves,-0.29104334115982056
neutral,0,A@50,A_seed1@50,0.4670368731021881
neutral,0,A@50,A@75,0.9647922515869141
neutral,0,A@50,A_seed1@75,0.48988738656044006
neutral,0,A@50,A@100,0.9447736740112305
neutral,0,A@50,A_seed1@100,0.4785330593585968
neutral,0,A@50,A@125,0.9311453104019165
neutral,0,A@50,A_seed1@125,0.4802441895008087
neutral,0,A@50,N1_halves,-0.2649248540401459
neutral,0,A_seed1@50,A@75,0.513288676738739
neutral,0,A_seed1@50,A_seed1@75,0.9680519700050354
neutral,0,A_seed1@50,A@100,0.5447059869766235
neutral,0,A_seed1@50,A_seed1@100,0.9556871056556702
neutral,0,A_seed1@50,A@125,0.5618295669555664
neutral,0,A_seed1@50,A_seed1@125,0.9498684406280518
neutral,0,A_seed1@50,N1_halves,-0.32436037063598633
neutral,0,A@75,A_seed1@75,0.5438893437385559
neutral,0,A@75,A@100,0.9823886752128601
neutral,0,A@75,A_seed1@100,0.5274438858032227
neutral,0,A@75,A@125,0.9697004556655884
neutral,0,A@75,A_seed1@125,0.5298886299133301
neutral,0,A@75,N1_halves,-0.3090682923793793
neutral,0,A_seed1@75,A@100,0.5801411271095276
neutral,0,A_seed1@75,A_seed1@100,0.977166473865509
neutral,0,A_seed1@75,A@125,0.5986855626106262
neutral,0,A_seed1@75,A_seed1@125,0.9743418097496033
neutral,0,A_seed1@75,N1_halves,-0.37883520126342773
neutral,0,A@100,A_seed1@100,0.561735987663269
neutral,0,A@100,A@125,0.9897701740264893
neutral,0,A@100,A_seed1@125,0.5628952383995056
neutral,0,A@100,N1_halves,-0.3379521071910858
neutral,0,A_seed1@100,A@125,0.5781756043434143
neutral,0,A_seed1@100,A_seed1@125,0.9921937584877014
neutral,0,A_seed1@100,N1_halves,-0.3474906384944916
neutral,0,A@125,A_seed1@125,0.5783201456069946
neutral,0,A@125,N1_halves,-0.3471461236476898
neutral,0,A_seed1@125,N1_halves,-0.34301990270614624
neutral,1,A,A_seed1,0.6762152910232544
neutral,1,A,A@25,0.8741039633750916
neutral,1,A,A_seed1@25,0.4958031177520752
neutral,1,A,A@50,0.9395919442176819
neutral,1,A,A_seed1@50,0.6538773775100708
neutral,1,A,A@75,0.9689229130744934
