arm,position,math_over_neutral
N1_halves,0,0.3328840296850906
N1_halves,1,0.6867210764618239
N1_halves,2,0.7623775032877108
N1_halves,3,0.7639366962783769
N1_halves,4,0.8398520463312611
A,0,1.2483838939070406
A,1,2.302395283831289
A,2,2.7812400289519803
A,3,3.101634399375178
A,4,2.8764404674317827
A_seed1,0,1.0777122392333913
A_seed1,1,2.2198747585827574
A_seed1,2,2.5748088949325076
A_seed1,3,2.762679103439583
A_seed1,4,2.5769322992692625
A@25,0,1.1848305099371297
A@25,1,2.775202263317699
A@25,2,2.665435749823641
A@25,3,3.1758634064289963
A@25,4,3.001988863638262
A_seed1@25,0,1.239955679725793
A_seed1@25,1,2.9397770887382713
A_seed1@25,2,2.1947140617040652
A_seed1@25,3,2.742502418387776
A_seed1@25,4,2.470584261089499
A@50,0,1.2829875438471856
A@50,1,2.2796745041322133
A@50,2,2.8527809594998654
A@50,3,3.164573325835451
A@50,4,2.9017527897240774
A_seed1@50,0,1.2139017726884858
A_seed1@50,1,2.4133032942275463
A_seed1@50,2,2.5264315882625428
A_seed1@50,3,2.8145839108759345
A_seed1@50,4,2.600705767187151
A@75,0,1.1955481820899476
A@75,1,2.4022083233168963
A@75,2,2.7820067605672585
A@75,3,3.0631827945077266
A@75,4,2.7862868349743017
A_seed1@75,0,1.37578159553295
A_seed1@75,1,2.401167621746609
A_seed1@75,2,2.6303456500854514
A_seed1@75,3,2.72042088538075
A_seed1@75,4,2.4998241390236187
A@100,0,1.2748242102454366
A@100,1,2.4003882166897204
A@100,2,2.780245598191416
A@100,3,3.0151390636685713
A@100,4,2.7914772586211822
A_seed1@100,0,1.0986063202284637
A_seed1@100,1,2.379380681653737
A_seed1@100,2,2.6164500834231372
A_seed1@100,3,2.8196237497793666
A_seed1@100,4,2.5830842249445247
A@125,0,1.0754964647042569
A@125,1,2.417904558447828
A@125,2,2.8184396285208355
A@125,3,3.0632039800068442
A@125,4,2.8799291297242657
A_seed1@125,0,1.3789662621329566
A_seed1@125,1,2.194659089596544
A_seed1@125,2,2.6097786956756908
A_seed1@125,3,2.784942127954395
A_seed1@125,4,2.591923895392345
