set,position,x,y,cos
neutral,0,C,A,0.5647963285446167
neutral,0,C,D,0.7855538725852966
neutral,0,C,D_math_full,-0.007983309216797352
neutral,0,C,D_math,0.1538565307855606
neutral,0,C,B,-0.17415641248226166
neutral,0,C,N3,-0.09454064071178436
neutral,0,C,N1_halves,-0.46689221262931824
neutral,0,A,D,0.46310725808143616
neutral,0,A,D_math_full,0.01942441053688526
neutral,0,A,D_math,0.1374528408050537
neutral,0,A,B,-0.07425344735383987
neutral,0,A,N3,-0.04499693959951401
neutral,0,A,N1_halves,-0.34939661622047424
neutral,0,D,D_math_full,-0.11621557176113129
neutral,0,D,D_math,0.09523975849151611
neutral,0,D,B,-0.14857016503810883
neutral,0,D,N3,-0.1309957057237625
neutral,0,D,N1_halves,-0.420698881149292
neutral,0,D_math_full,D_math,0.39489302039146423
neutral,0,D_math_full,B,0.01617320626974106
neutral,0,D_math_full,N3,-0.0019189916783943772
neutral,0,D_math_full,N1_halves,0.09687672555446625
neutral,0,D_math,B,-0.048118866980075836
neutral,0,D_math,N3,-0.007940027862787247
neutral,0,D_math,N1_halves,-0.04715467616915703
neutral,0,B,N3,0.11873576790094376
neutral,0,B,N1_halves,0.12792754173278809
neutral,0,N3,N1_halves,0.08186004310846329
neutral,1,C,A,0.5048527121543884
neutral,1,C,D,0.39462733268737793
neutral,1,C,D_math_full,0.5538791418075562
neutral,1,C,D_math,0.20439161360263824
neutral,1,C,B,-0.06896801292896271
neutral,1,C,N3,0.10143229365348816
neutral,1,C,N1_halves,-0.09548717737197876
neutral,1,A,D,0.20012672245502472
neutral,1,A,D_math_full,0.2655283510684967
neutral,1,A,D_math,0.08726082742214203
neutral,1,A,B,-0.12662182748317719
neutral,1,A,N3,0.0971267968416214
neutral,1,A,N1_halves,0.01952551119029522
neutral,1,D,D_math_full,0.2466641217470169
neutral,1,D,D_math,0.08759523928165436
neutral,1,D,B,0.02806876413524151
neutral,1,D,N3,0.1467600017786026
neutral,1,D,N1_halves,-0.17488817870616913
neutral,1,D_math_full,D_math,0.6286686658859253
neutral,1,D_math_full,B,0.05573238432407379
neutral,1,D_math_full,N3,0.09441470354795456
neutral,1,D_math_full,N1_halves,-0.1815647929906845
neutral,1,D_math,B,0.12966732680797577
neutral,1,D_math,N3,0.08014693111181259
neutral,1,D_math,N1_halves,-0.17949099838733673
neutral,1,B,N3,0.15623004734516144
neutral,1,B,N1_halves,-0.13116352260112762
neutral,1,N3,N1_halves,-0.08063153177499771
neutral,2,C,A,0.42053303122520447
neutral,2,C,D,0.2894487679004669
neutral,2,C,D_math_full,0.4878626763820648
neutral,2,C,D_math,0.1752208173274994
neutral,2,C,B,-0.037851858884096146
neutral,2,C,N3,-0.018316447734832764
neutral,2,C,N1_halves,-0.10159936547279358
neutral,2,A,D,0.14491493999958038
neutral,2,A,D_math_full,0.2591310739517212
neutral,2,A,D_math,0.10246441513299942
neutral,2,A,B,-0.14020560681819916
neutral,2,A,N3,-0.0011555470991879702
neutral,2,A,N1_halves,-0.03448503836989403
neutral,2,D,D_math_full,0.1967247873544693
neutral,2,D,D_math,0.05954313278198242
neutral,2,D,B,0.04235759750008583
neutral,2,D,N3,0.07173125445842743
neutral,2,D,N1_halves,-0.052560918033123016
neutral,2,D_math_full,D_math,0.5657299757003784
neutral,2,D_math_full,B,0.060568347573280334
neutral,2,D_math_full,N3,0.039781760424375534
neutral,2,D_math_full,N1_halves,-0.0914788469672203
neutral,2,D_math,B,0.13326501846313477
neutral,2,D_math,N3,0.0937420129776001
neutral,2,D_math,N1_halves,-0.06483084708452225
neutral,2,B,N3,0.24016137421131134
neutral,2,B,N1_halves,-0.026587214320898056
neutral,2,N3,N1_halves,-0.05325448140501976
neutral,3,C,A,0.45752713084220886
neutral,3,C,D,0.24229323863983154
neutral,3,C,D_math_full,0.5891543030738831
neutral,3,C,D_math,0.22368615865707397
neutral,3,C,B,-0.09911638498306274
neutral,3,C,N3,0.02904651127755642
neutral,3,C,N1_halves,-0.0642257034778595
neutral,3,A,D,0.1405007690191269
neutral,3,A,D_math_full,0.26018980145454407
neutral,3,A,D_math,0.13744600117206573
neutral,3,A,B,-0.16945739090442657
neutral,3,A,N3,0.009668707847595215
neutral,3,A,N1_halves,-0.051123421639204025
neutral,3,D,D_math_full,0.15823914110660553
neutral,3,D,D_math,0.04337848350405693
neutral,3,D,B,-0.03940218687057495
neutral,3,D,N3,-0.04180755466222763
neutral,3,D,N1_halves,-0.0033716061152517796
neutral,3,D_math_full,D_math,0.6214057803153992
neutral,3,D_math_full,B,-0.09559715539216995
neutral,3,D_math_full,N3,0.05911529064178467
neutral,3,D_math_full,N1_halves,-0.10505092889070511
neutral,3,D_math,B,-0.06871770322322845
neutral,3,D_math,N3,0.03711966425180435
neutral,3,D_math,N1_halves,-0.0328141488134861
neutral,3,B,N3,0.03248068690299988
