set,position,x,y,cos,norm_x,norm_y
neutral,0,C_masked,N1_halves,-0.23129115998744965,,
neutral,1,C_masked,N1_halves,-0.06807182729244232,,
neutral,2,C_masked,N1_halves,-0.02560265362262726,,
neutral,3,C_masked,N1_halves,-0.012457071803510189,,
neutral,4,C_masked,N1_halves,-0.05542207881808281,,
math,0,C_masked,N1_halves,-0.37135425209999084,,
math,1,C_masked,N1_halves,0.026577036827802658,,
math,2,C_masked,N1_halves,0.1638525277376175,,
math,3,C_masked,N1_halves,0.0881924256682396,,
math,4,C_masked,N1_halves,0.11795547604560852,,
neutral,0,C_masked,C_s0,0.4555446892255907,0.4779333127344619,7.054919795344657
neutral,0,C_masked,C_s1,0.4329214785453659,0.4779333127344619,6.284144588302432
neutral,0,C_masked,A_s0,0.49932803968005723,0.4779333127344619,0.18404170743939519
neutral,0,C_masked,A_s1,0.4738376031006245,0.4779333127344619,0.2116337163072608
neutral,0,C_masked,D_math,0.09229884768036307,0.4779333127344619,0.4723984082577561
neutral,0,C_masked,D_math_full,0.0367118642997155,0.4779333127344619,1.226137086053651
neutral,1,C_masked,C_s0,0.32029743495407,0.2857640329671055,3.488133540905548
neutral,1,C_masked,C_s1,0.29747192102195114,0.2857640329671055,3.4975166072002595
neutral,1,C_masked,A_s0,0.6239617637139033,0.2857640329671055,0.20970074671602984
neutral,1,C_masked,A_s1,0.49377873327791305,0.2857640329671055,0.15453295911186535
neutral,1,C_masked,D_math,0.18650710725140823,0.2857640329671055,0.38876798187811834
neutral,1,C_masked,D_math_full,0.2300069240499781,0.2857640329671055,1.1991477290901698
neutral,2,C_masked,C_s0,0.26815084348744983,0.25733045942875904,2.434405705359514
neutral,2,C_masked,C_s1,0.2521696503262151,0.25733045942875904,2.4836510396684397
neutral,2,C_masked,A_s0,0.5836462269350005,0.25733045942875904,0.18423678161336543
neutral,2,C_masked,A_s1,0.43571966686663294,0.25733045942875904,0.14736631489757118
neutral,2,C_masked,D_math,0.11843345263675341,0.25733045942875904,0.34077952329140265
neutral,2,C_masked,D_math_full,0.17881811678576784,0.25733045942875904,0.9588014052169932
neutral,3,C_masked,C_s0,0.33451646140158076,0.23132312156012483,2.1685702950242436
neutral,3,C_masked,C_s1,0.3057712626621624,0.23132312156012483,2.172825899827159
neutral,3,C_masked,A_s0,0.643695070090685,0.23132312156012483,0.16045376402265318
neutral,3,C_masked,A_s1,0.46691821853723725,0.23132312156012483,0.12791167073827042
neutral,3,C_masked,D_math,0.07073769953385481,0.23132312156012483,0.23958358001240332
neutral,3,C_masked,D_math_full,0.14398024619461988,0.23132312156012483,0.6469472506683527
neutral,4,C_masked,C_s0,0.3296402772555768,0.22147574441367338,1.8091197392162548
neutral,4,C_masked,C_s1,0.3005227501762445,0.22147574441367338,1.8080819682485365
neutral,4,C_masked,A_s0,0.6520439057480137,0.22147574441367338,0.14712190968210667
neutral,4,C_masked,A_s1,0.4457181188277794,0.22147574441367338,0.12410332437604689
neutral,4,C_masked,D_math,0.04457975824069622,0.22147574441367338,0.2159631355150886
neutral,4,C_masked,D_math_full,0.08799709054045785,0.22147574441367338,0.4868744002516765
math,0,C_masked,C_s0,0.5233445048759843,0.5146047048597135,6.496273726488657
math,0,C_masked,C_s1,0.4971728383017223,0.5146047048597135,5.558923938509837
math,0,C_masked,A_s0,0.5727602659304577,0.5146047048597135,0.22975468078326042
math,0,C_masked,A_s1,0.501587703739226,0.5146047048597135,0.22808024502992333
math,0,C_masked,D_math,-0.2079720520255353,0.5146047048597135,0.8686938516246565
math,0,C_masked,D_math_full,-0.09778838453509268,0.5146047048597135,2.1791709149876697
math,1,C_masked,C_s0,0.361940091096713,0.6445410835023384,5.379701363368303
math,1,C_masked,C_s1,0.3180134613962045,0.6445410835023384,5.203847195830996
math,1,C_masked,A_s0,0.5695708170708204,0.6445410835023384,0.4828140067690722
math,1,C_masked,A_s1,0.5210797155700058,0.6445410835023384,0.3430438113394497
math,1,C_masked,D_math,0.28312145008942363,0.6445410835023384,5.107465996959456
math,1,C_masked,D_math_full,0.17468926763062767,0.6445410835023384,10.052595393547017
math,2,C_masked,C_s0,0.5397192951068797,0.6513303447827608,5.251120429855811
math,2,C_masked,C_s1,0.5220363365666678,0.6513303447827608,5.141363682647981
math,2,C_masked,A_s0,0.7430960948640668,0.6513303447827608,0.512406669064173
math,2,C_masked,A_s1,0.7256491682502287,0.6513303447827608,0.37944009244229054
math,2,C_masked,D_math,0.391616660918626,0.6513303447827608,3.3468446895210677
math,2,C_masked,D_math_full,0.3505496271478501,0.6513303447827608,6.394016025031182
math,3,C_masked,C_s0,0.6176687794963738,0.5495257345964237,4.167403408418502
math,3,C_masked,C_s1,0.6063400943181685,0.5495257345964237,4.075476134653207
math,3,C_masked,A_s0,0.8047148191986954,0.5495257345964237,0.49766891050147566
math,3,C_masked,A_s1,0.7595171771945136,0.5495257345964237,0.3533788639678889
math,3,C_masked,D_math,0.4708804907359212,0.5495257345964237,2.1351638655181633
math,3,C_masked,D_math_full,0.4744664681854827,0.5495257345964237,3.9821943862142013
math,4,C_masked,C_s0,0.6279879944934691,0.46101862600781324,3.4788300892325283
math,4,C_masked,C_s1,0.6154672128454834,0.46101862600781324,3.429563451486007
math,4,C_masked,A_s0,0.8158185419839973,0.46101862600781324,0.4231873895592714
math,4,C_masked,A_s1,0.7440707880650681,0.46101862600781324,0.3198058609606682
math,4,C_masked,D_math,0.40943388208640713,0.46101862600781324,1.3813243976053144
math,4,C_masked,D_math_full,0.4962147018456006,0.46101862600781324,2.6998630950743667
