arm,step,set,position,raw_norm,constancy,base_constancy,excess_constancy,base_norm,n,split_half_floor,cos_halves
N1_halves,0,neutral,0,0.32442015409469604,,0.9593096971511841,,20.752077102661133,500,,
C_scrambled,225,neutral,0,3.5652778148651123,0.9054787755012512,0.9593096971511841,-0.05383092164993286,20.752077102661133,500,0.09188387542963028,0.9997830986976624
N1_halves,0,neutral,1,0.7467716336250305,,0.4127209782600403,,12.545119285583496,500,,
C_scrambled,225,neutral,1,2.9817442893981934,0.28944727778434753,0.4127209782600403,-0.12327370047569275,12.545119285583496,500,0.3763679265975952,0.9921815395355225
N1_halves,0,neutral,2,0.7441717982292175,,0.3255348801612854,,12.172066688537598,500,,
C_scrambled,225,neutral,2,3.2055788040161133,0.23474007844924927,0.3255348801612854,-0.09079480171203613,12.172066688537598,500,0.42855754494667053,0.9915924668312073
N1_halves,0,neutral,3,0.8384157419204712,,0.3451177179813385,,11.801129341125488,500,,
C_scrambled,225,neutral,3,2.763434648513794,0.2029659003019333,0.3451177179813385,-0.1421518176794052,11.801129341125488,500,0.41219672560691833,0.9890016317367554
N1_halves,0,neutral,4,0.8675513863563538,,0.33671361207962036,,11.718660354614258,500,,
C_scrambled,225,neutral,4,2.548168897628784,0.17651914060115814,0.33671361207962036,-0.16019447147846222,11.718660354614258,500,0.44407474994659424,0.9849684834480286
N1_halves,0,math,0,0.10799428820610046,,0.983864963054657,,20.83060073852539,500,,
C_scrambled,225,math,0,3.437303304672241,0.9863592386245728,0.983864963054657,0.0024942755699157715,20.83060073852539,500,0.016420364379882812,0.9999885559082031
N1_halves,0,math,1,0.5128238201141357,,0.4921056032180786,,15.879556655883789,500,,
C_scrambled,225,math,1,4.821861743927002,0.667844295501709,0.4921056032180786,0.17573869228363037,15.879556655883789,500,0.138137549161911,0.9996324777603149
N1_halves,0,math,2,0.5673398375511169,,0.5812134742736816,,11.30801773071289,500,,
C_scrambled,225,math,2,4.3429083824157715,0.46848157048225403,0.5812134742736816,-0.11273190379142761,11.30801773071289,500,0.3382948040962219,0.997320830821991
N1_halves,0,math,3,0.640496551990509,,0.5002747774124146,,11.696806907653809,500,,
C_scrambled,225,math,3,2.816957712173462,0.2796621024608612,0.5002747774124146,-0.22061267495155334,11.696806907653809,500,0.35876789689064026,0.992168664932251
N1_halves,0,math,4,0.7286148071289062,,0.44381242990493774,,11.761890411376953,500,,
C_scrambled,225,math,4,2.0619728565216064,0.19569624960422516,0.44381242990493774,-0.24811618030071259,11.761890411376953,500,0.330085426568985,0.9876755475997925
