arm,step,set,position,raw_norm,constancy,base_constancy,excess_constancy,base_norm,n,split_half_floor,cos_halves
N1_halves,0,neutral,0,0.32442015409469604,,0.9593096971511841,,20.752077102661133,500,,
C_shifted,225,neutral,0,1.0091384649276733,0.8092426657676697,0.9593096971511841,-0.1500670313835144,20.752077102661133,500,0.03276604041457176,0.9994792342185974
N1_halves,0,neutral,1,0.7467716336250305,,0.4127209782600403,,12.545119285583496,500,,
C_shifted,225,neutral,1,1.9404101371765137,0.21191830933094025,0.4127209782600403,-0.20080266892910004,12.545119285583496,500,0.2683700621128082,0.9928751587867737
N1_halves,0,neutral,2,0.7441717982292175,,0.3255348801612854,,12.172066688537598,500,,
C_shifted,225,neutral,2,2.275700330734253,0.18291203677654266,0.3255348801612854,-0.14262284338474274,12.172066688537598,500,0.33687132596969604,0.9931367635726929
N1_halves,0,neutral,3,0.8384157419204712,,0.3451177179813385,,11.801129341125488,500,,
C_shifted,225,neutral,3,1.9150416851043701,0.13894057273864746,0.3451177179813385,-0.20617714524269104,11.801129341125488,500,0.35755571722984314,0.9832684397697449
N1_halves,0,neutral,4,0.8675513863563538,,0.33671361207962036,,11.718660354614258,500,,
C_shifted,225,neutral,4,1.7471901178359985,0.11852249503135681,0.33671361207962036,-0.21819111704826355,11.718660354614258,500,0.37717747688293457,0.9782272577285767
N1_halves,0,math,0,0.10799428820610046,,0.983864963054657,,20.83060073852539,500,,
C_shifted,225,math,0,1.1576783657073975,0.9794957041740417,0.983864963054657,-0.004369258880615234,20.83060073852539,500,0.006804157514125109,0.9999839663505554
N1_halves,0,math,1,0.5128238201141357,,0.4921056032180786,,15.879556655883789,500,,
C_shifted,225,math,1,2.3951613903045654,0.7319124341011047,0.4921056032180786,0.23980683088302612,15.879556655883789,500,0.0588853619992733,0.9997712969779968
N1_halves,0,math,2,0.5673398375511169,,0.5812134742736816,,11.30801773071289,500,,
C_shifted,225,math,2,3.4668092727661133,0.42737069725990295,0.5812134742736816,-0.1538427770137787,11.30801773071289,500,0.2857985496520996,0.9968171119689941
N1_halves,0,math,3,0.640496551990509,,0.5002747774124146,,11.696806907653809,500,,
C_shifted,225,math,3,2.433811664581299,0.28722792863845825,0.5002747774124146,-0.2130468487739563,11.696806907653809,500,0.2977138161659241,0.9925876259803772
N1_halves,0,math,4,0.7286148071289062,,0.44381242990493774,,11.761890411376953,500,,
C_shifted,225,math,4,1.9091432094573975,0.22140102088451385,0.44381242990493774,-0.2224114090204239,11.761890411376953,500,0.31592920422554016,0.9875264167785645
