arm,step,set,position,raw_norm,constancy,base_constancy,excess_constancy,base_norm,n,split_half_floor,cos_halves
N1_halves,0,neutral,0,0.3076867461204529,,0.973555862903595,,25.286352157592773,500,,
D,250,neutral,0,7.161885738372803,0.9384140372276306,0.973555862903595,-0.035141825675964355,25.286352157592773,500,0.13616696000099182,0.9998776912689209
D_math_full,225,neutral,0,0.9996151328086853,0.8916249871253967,0.973555862903595,-0.08193087577819824,25.286352157592773,500,0.029309699311852455,0.9995816349983215
A,150,neutral,0,0.16401633620262146,0.5109943151473999,0.973555862903595,-0.46256154775619507,25.286352157592773,500,0.028394360095262527,0.9868647456169128
B,150,neutral,0,0.10884357988834381,0.26293233036994934,0.973555862903595,-0.7106235325336456,25.286352157592773,500,0.018960289657115936,0.986840009689331
N3,0,neutral,0,0.06365523487329483,0.16838179528713226,0.973555862903595,-0.8051740676164627,25.286352157592773,500,0.009484446607530117,0.9889770150184631
N1_halves,0,neutral,1,0.6903667449951172,,0.3953792154788971,,11.333873748779297,500,,
D,250,neutral,1,2.5288829803466797,0.2630275785923004,0.3953792154788971,-0.13235163688659668,11.333873748779297,500,0.3493436276912689,0.9905205965042114
D_math_full,225,neutral,1,0.9604945778846741,0.2599433362483978,0.3953792154788971,-0.13543587923049927,11.333873748779297,500,0.11444827169179916,0.9956247210502625
A,150,neutral,1,0.18077535927295685,0.25765499472618103,0.3953792154788971,-0.13772422075271606,11.333873748779297,500,0.025024395436048508,0.9924207329750061
B,150,neutral,1,0.07988688349723816,0.16393667459487915,0.3953792154788971,-0.23144254088401794,11.333873748779297,500,0.01503883209079504,0.9827114343643188
N3,0,neutral,1,0.036281220614910126,0.06146416440606117,0.3953792154788971,-0.3339150510728359,11.333873748779297,500,0.011923043057322502,0.952883780002594
N1_halves,0,neutral,2,0.7065754532814026,,0.30468514561653137,,11.107572555541992,500,,
D,250,neutral,2,1.9872065782546997,0.17043957114219666,0.30468514561653137,-0.13424557447433472,11.107572555541992,500,0.3498154580593109,0.9847317934036255
D_math_full,225,neutral,2,0.8588789105415344,0.19784031808376312,0.30468514561653137,-0.10684482753276825,11.107572555541992,500,0.11994027346372604,0.994665265083313
A,150,neutral,2,0.16775301098823547,0.18773126602172852,0.30468514561653137,-0.11695387959480286,11.107572555541992,500,0.027089333161711693,0.9882898330688477
B,150,neutral,2,0.08283766359090805,0.12612806260585785,0.30468514561653137,-0.17855708301067352,11.107572555541992,500,0.017403682693839073,0.9793804287910461
N3,0,neutral,2,0.03850265219807625,0.05876155197620392,0.30468514561653137,-0.24592359364032745,11.107572555541992,500,0.012473181821405888,0.954130232334137
N1_halves,0,neutral,3,0.7618153691291809,,0.3261142671108246,,10.588359832763672,500,,
D,250,neutral,3,1.7308305501937866,0.16226789355278015,0.3261142671108246,-0.16384637355804443,10.588359832763672,500,0.3258417248725891,0.9830318689346313
D_math_full,225,neutral,3,0.5755935907363892,0.12972912192344666,0.3261142671108246,-0.19638514518737793,10.588359832763672,500,0.10076695680618286,0.9851680397987366
A,150,neutral,3,0.14293992519378662,0.16152136027812958,0.3261142671108246,-0.164592906832695,10.588359832763672,500,0.028532885015010834,0.9803369641304016
B,150,neutral,3,0.07464662939310074,0.11481688171625137,0.3261142671108246,-0.2112973853945732,10.588359832763672,500,0.017991332337260246,0.9713947176933289
N3,0,neutral,3,0.01577773317694664,0.01278089452534914,0.3261142671108246,-0.31333337258547544,10.588359832763672,500,0.012475459836423397,0.7298094630241394
N1_halves,0,neutral,4,0.8327950835227966,,0.32006779313087463,,10.510417938232422,500,,
D,250,neutral,4,1.5530563592910767,0.14117775857448578,0.32006779313087463,-0.17889003455638885,10.510417938232422,500,0.33115440607070923,0.977787435054779
D_math_full,225,neutral,4,0.4234362542629242,0.10308796167373657,0.32006779313087463,-0.21697983145713806,10.510417938232422,500,0.10504177212715149,0.9712179899215698
