arm,position,math_over_neutral
N1_halves,0,0.34302020756172796
N1_halves,1,0.7444376966771745
N1_halves,2,0.6975782515290354
N1_halves,3,0.7684532233859246
N1_halves,4,0.8117930718925152
D,0,0.9206872397019806
D,1,1.3546813471678447
D,2,1.5092778317706461
D,3,1.2808744578493985
D,4,1.150500296246978
D_math_full,0,2.039222911735837
D_math_full,1,9.36251935765626
D_math_full,2,6.2348447357688075
D_math_full,3,5.77383409800579
D_math_full,4,5.411732959426211
A,0,1.2401319166526603
A,1,2.245212081576184
A,2,2.8124464700382332
A,3,3.126940571294181
A,4,2.961820706528364
B,0,1.165182646166972
B,1,2.4459691056977295
B,2,1.5751806281599416
B,3,1.6079806557625431
B,4,1.4022526992516182
N3,0,1.5005893843400389
N3,1,4.734047658700961
N3,2,1.1240839682580688
N3,3,1.7717774855777733
N3,4,1.4462229543982401
