set,position,x,y,cos
neutral,0,D,D_math_full,-0.10739481449127197
neutral,0,D,A,-0.044597990810871124
neutral,0,D,B,-0.033230919390916824
neutral,0,D,N3,-0.07411637157201767
neutral,0,D,N1_halves,-0.18282461166381836
neutral,0,D_math_full,A,0.1121978908777237
neutral,0,D_math_full,B,0.06618445366621017
neutral,0,D_math_full,N3,0.004140959586948156
neutral,0,D_math_full,N1_halves,0.10938339680433273
neutral,0,A,B,0.09215962141752243
neutral,0,A,N3,0.019564542919397354
neutral,0,A,N1_halves,0.03810645639896393
neutral,0,B,N3,0.06912153214216232
neutral,0,B,N1_halves,0.11351677775382996
neutral,0,N3,N1_halves,0.11455381661653519
neutral,1,D,D_math_full,0.2088717222213745
neutral,1,D,A,0.1244056224822998
neutral,1,D,B,-0.00528341019526124
neutral,1,D,N3,0.1447327733039856
neutral,1,D,N1_halves,-0.1427367627620697
neutral,1,D_math_full,A,0.1799020916223526
neutral,1,D_math_full,B,0.08145343512296677
neutral,1,D_math_full,N3,0.0917205736041069
neutral,1,D_math_full,N1_halves,-0.18809819221496582
neutral,1,A,B,-0.16448600590229034
neutral,1,A,N3,0.053147830069065094
neutral,1,A,N1_halves,-0.09088350832462311
neutral,1,B,N3,0.1987861841917038
neutral,1,B,N1_halves,-0.05072074756026268
neutral,1,N3,N1_halves,-0.09042846411466599
neutral,2,D,D_math_full,0.1911550611257553
neutral,2,D,A,0.07330308109521866
neutral,2,D,B,0.014514125883579254
neutral,2,D,N3,0.06823106110095978
neutral,2,D,N1_halves,-0.04740476608276367
neutral,2,D_math_full,A,0.12890625
neutral,2,D_math_full,B,0.13277475535869598
neutral,2,D_math_full,N3,0.12205023318529129
neutral,2,D_math_full,N1_halves,-0.052156247198581696
neutral,2,A,B,-0.10542211681604385
neutral,2,A,N3,0.05883561447262764
neutral,2,A,N1_halves,-0.09069529920816422
neutral,2,B,N3,0.3040621876716614
neutral,2,B,N1_halves,-0.067021444439888
neutral,2,N3,N1_halves,-0.06704514473676682
neutral,3,D,D_math_full,0.15214204788208008
neutral,3,D,A,0.11178362369537354
neutral,3,D,B,-0.08059673756361008
neutral,3,D,N3,-0.006641373038291931
neutral,3,D,N1_halves,-0.00879490002989769
neutral,3,D_math_full,A,0.12452761083841324
neutral,3,D_math_full,B,0.015435731038451195
neutral,3,D_math_full,N3,0.03201756626367569
neutral,3,D_math_full,N1_halves,-0.047882840037345886
neutral,3,A,B,-0.2121872752904892
neutral,3,A,N3,0.027391862124204636
neutral,3,A,N1_halves,-0.0553475022315979
neutral,3,B,N3,0.00022696876840200275
neutral,3,B,N1_halves,-0.010226104408502579
neutral,3,N3,N1_halves,-0.018260831013321877
neutral,4,D,D_math_full,0.1574166715145111
neutral,4,D,A,0.11964332312345505
neutral,4,D,B,-0.09406528621912003
neutral,4,D,N3,0.03044973500072956
neutral,4,D,N1_halves,-0.10885694622993469
neutral,4,D_math_full,A,0.07661611586809158
neutral,4,D_math_full,B,0.012511233799159527
neutral,4,D_math_full,N3,0.041900910437107086
neutral,4,D_math_full,N1_halves,-0.06401460617780685
neutral,4,A,B,-0.18432049453258514
neutral,4,A,N3,0.043526943773031235
neutral,4,A,N1_halves,-0.10239192098379135
neutral,4,B,N3,-0.042305368930101395
neutral,4,B,N1_halves,0.14372387528419495
neutral,4,N3,N1_halves,-0.08033184707164764
math,0,D,D_math_full,-0.15606652200222015
math,0,D,A,-0.08819811046123505
math,0,D,B,-0.1124776154756546
math,0,D,N3,-0.017718391492962837
math,0,D,N1_halves,-0.1686897873878479
math,0,D_math_full,A,0.167400524020195
math,0,D_math_full,B,0.2393529713153839
math,0,D_math_full,N3,0.009954540058970451
math,0,D_math_full,N1_halves,0.4685867726802826
math,0,A,B,0.27484914660453796
math,0,A,N3,0.2220762073993683
math,0,A,N1_halves,0.14687560498714447
math,0,B,N3,0.14058026671409607
math,0,B,N1_halves,0.3427366018295288
math,0,N3,N1_halves,0.01219912339001894
math,1,D,D_math_full,0.2089000791311264
math,1,D,A,-0.28514328598976135
math,1,D,B,-0.011976312845945358
math,1,D,N3,-0.02749892883002758
math,1,D,N1_halves,-0.028421971946954727
math,1,D_math_full,A,-0.010427294299006462
math,1,D_math_full,B,0.0533042848110199
math,1,D_math_full,N3,0.03243328258395195
math,1,D_math_full,N1_halves,0.014638056047260761
math,1,A,B,0.08271682262420654
math,1,A,N3,0.12722079455852509
math,1,A,N1_halves,0.04315007105469704
math,1,B,N3,0.3107461929321289
math,1,B,N1_halves,-0.07906355708837509
math,1,N3,N1_halves,-0.18886834383010864
math,2,D,D_math_full,0.11852612346410751
math,2,D,A,0.08092597126960754
math,2,D,B,-0.11408308893442154
math,2,D,N3,0.06545768678188324
math,2,D,N1_halves,0.11255094408988953
math,2,D_math_full,A,0.40175771713256836
math,2,D_math_full,B,-0.10641930997371674
math,2,D_math_full,N3,-0.163627028465271
math,2,D_math_full,N1_halves,0.1671220064163208
math,2,A,B,0.1520795375108719
math,2,A,N3,-0.0856723040342331
math,2,A,N1_halves,0.2294670194387436
math,2,B,N3,-0.0005448699230328202
math,2,B,N1_halves,-0.05111965909600258
math,2,N3,N1_halves,0.0002707442326936871
math,3,D,D_math_full,0.1672792285680771
math,3,D,A,0.12363994121551514
math,3,D,B,-0.1372644454240799
math,3,D,N3,0.025332817807793617
math,3,D,N1_halves,0.06878608465194702
math,3,D_math_full,A,0.5248886942863464
math,3,D_math_full,B,-0.10209712386131287
math,3,D_math_full,N3,-0.09471966326236725
math,3,D_math_full,N1_halves,0.014543176628649235
math,3,A,B,-0.04100919887423515
