set,position,x,y,cos
neutral,0,D,D_math,0.09523975849151611
neutral,0,D,D_math_full,-0.11621557176113129
neutral,0,D,N3,-0.1309957057237625
neutral,0,D,A,0.46310725808143616
neutral,0,D,B,-0.14857016503810883
neutral,0,D,A_early@30,0.33501195907592773
neutral,0,D,A_early@2,0.3572491705417633
neutral,0,D,A@25,0.3946102559566498
neutral,0,D,B@25,-0.05899171903729439
neutral,0,D,A@50,0.3271021246910095
neutral,0,D,B@50,0.06565449386835098
neutral,0,D,A@75,0.4022241234779358
neutral,0,D,B@75,0.01785961166024208
neutral,0,D,A@100,0.4376671612262726
neutral,0,D,B@100,-0.014411362819373608
neutral,0,D,A@125,0.4578494727611542
neutral,0,D,B@125,0.0613587461411953
neutral,0,D,N1_halves,-0.420698881149292
neutral,0,D_math,D_math_full,0.39489302039146423
neutral,0,D_math,N3,-0.007940027862787247
neutral,0,D_math,A,0.1374528408050537
neutral,0,D_math,B,-0.048118866980075836
neutral,0,D_math,A_early@30,0.15149356424808502
neutral,0,D_math,A_early@2,0.10412684828042984
neutral,0,D_math,A@25,0.11783863604068756
neutral,0,D_math,B@25,-0.034606099128723145
neutral,0,D_math,A@50,0.11135692894458771
neutral,0,D_math,B@50,0.0035760796163231134
neutral,0,D_math,A@75,0.13348543643951416
neutral,0,D_math,B@75,-0.01803530566394329
neutral,0,D_math,A@100,0.1333681344985962
neutral,0,D_math,B@100,-0.020376471802592278
neutral,0,D_math,A@125,0.13108375668525696
neutral,0,D_math,B@125,-0.009565779007971287
neutral,0,D_math,N1_halves,-0.04715467616915703
neutral,0,D_math_full,N3,-0.0019189916783943772
neutral,0,D_math_full,A,0.01942441053688526
neutral,0,D_math_full,B,0.01617320626974106
neutral,0,D_math_full,A_early@30,-0.006106651853770018
neutral,0,D_math_full,A_early@2,-0.03411665931344032
neutral,0,D_math_full,A@25,0.044744789600372314
neutral,0,D_math_full,B@25,-0.038712430745363235
neutral,0,D_math_full,A@50,0.0668506920337677
neutral,0,D_math_full,B@50,-0.011447878554463387
neutral,0,D_math_full,A@75,0.05413385108113289
neutral,0,D_math_full,B@75,-0.002785956021398306
neutral,0,D_math_full,A@100,0.03353451192378998
neutral,0,D_math_full,B@100,0.00642823800444603
neutral,0,D_math_full,A@125,0.013579586520791054
neutral,0,D_math_full,B@125,-0.0013777369167655706
neutral,0,D_math_full,N1_halves,0.09687672555446625
neutral,0,N3,A,-0.04499693959951401
neutral,0,N3,B,0.11873576790094376
neutral,0,N3,A_early@30,-0.019818812608718872
neutral,0,N3,A_early@2,0.018177593126893044
neutral,0,N3,A@25,-0.03249610960483551
neutral,0,N3,B@25,0.1294613480567932
neutral,0,N3,A@50,-0.02676982991397381
neutral,0,N3,B@50,0.07512663304805756
neutral,0,N3,A@75,-0.03930417448282242
neutral,0,N3,B@75,0.0704972892999649
neutral,0,N3,A@100,-0.04413735121488571
neutral,0,N3,B@100,0.08222965896129608
neutral,0,N3,A@125,-0.03954412788152695
neutral,0,N3,B@125,0.08583150804042816
neutral,0,N3,N1_halves,0.08186004310846329
neutral,0,A,B,-0.07425344735383987
neutral,0,A,A_early@30,0.47840073704719543
neutral,0,A,A_early@2,0.35918205976486206
neutral,0,A,A@25,0.8793743848800659
neutral,0,A,B@25,-0.04888700321316719
neutral,0,A,A@50,0.9290323257446289
neutral,0,A,B@50,0.005864693317562342
neutral,0,A,A@75,0.9700326323509216
neutral,0,A,B@75,-0.009806743822991848
neutral,0,A,A@100,0.9888994097709656
neutral,0,A,B@100,-0.00913093239068985
neutral,0,A,A@125,0.9947641491889954
neutral,0,A,B@125,0.040996383875608444
neutral,0,A,N1_halves,-0.34939661622047424
neutral,0,B,A_early@30,-0.05479040741920471
neutral,0,B,A_early@2,-0.10141594707965851
neutral,0,B,A@25,-0.10872779041528702
neutral,0,B,B@25,0.7234439849853516
neutral,0,B,A@50,-0.0619075745344162
neutral,0,B,B@50,0.7914230227470398
neutral,0,B,A@75,-0.0693117007613182
neutral,0,B,B@75,0.9022361636161804
neutral,0,B,A@100,-0.07682281732559204
neutral,0,B,B@100,0.9552398920059204
neutral,0,B,A@125,-0.07132375985383987
neutral,0,B,B@125,0.9502729773521423
neutral,0,B,N1_halves,0.12792754173278809
neutral,0,A_early@30,A_early@2,0.566432535648346
neutral,0,A_early@30,A@25,0.4542955756187439
neutral,0,A_early@30,B@25,-0.019728077575564384
neutral,0,A_early@30,A@50,0.43808645009994507
neutral,0,A_early@30,B@50,0.03257225826382637
neutral,0,A_early@30,A@75,0.45514437556266785
neutral,0,A_early@30,B@75,0.0065737091936171055
neutral,0,A_early@30,A@100,0.47294580936431885
neutral,0,A_early@30,B@100,0.0026168597396463156
neutral,0,A_early@30,A@125,0.47633177042007446
neutral,0,A_early@30,B@125,0.020022118464112282
neutral,0,A_early@30,N1_halves,-0.1983935385942459
neutral,0,A_early@2,A@25,0.34247463941574097
neutral,0,A_early@2,B@25,-0.029019400477409363
neutral,0,A_early@2,A@50,0.3144942820072174
neutral,0,A_early@2,B@50,0.021625053137540817
neutral,0,A_early@2,A@75,0.33519208431243896
neutral,0,A_early@2,B@75,-0.02474278025329113
neutral,0,A_early@2,A@100,0.3549172878265381
neutral,0,A_early@2,B@100,-0.03609464690089226
neutral,0,A_early@2,A@125,0.3607581853866577
neutral,0,A_early@2,B@125,0.0026701749302446842
neutral,0,A_early@2,N1_halves,-0.18535469472408295
neutral,0,A@25,B@25,-0.04831109568476677
neutral,0,A@25,A@50,0.9299960732460022
neutral,0,A@25,B@50,0.002160396659746766
neutral,0,A@25,A@75,0.900306761264801
neutral,0,A@25,B@75,-0.04737468436360359
neutral,0,A@25,A@100,0.8885297775268555
neutral,0,A@25,B@100,-0.046333249658346176
neutral,0,A@25,A@125,0.8795546889305115
neutral,0,A@25,B@125,-0.01006898283958435
neutral,0,A@25,N1_halves,-0.30237478017807007
neutral,0,B@25,A@50,-0.043242961168289185
neutral,0,B@25,B@50,0.8668791651725769
neutral,0,B@25,A@75,-0.04764686897397041
neutral,0,B@25,B@75,0.7754758596420288
neutral,0,B@25,A@100,-0.05198262631893158
neutral,0,B@25,B@100,0.7414998412132263
neutral,0,B@25,A@125,-0.04340404272079468
neutral,0,B@25,B@125,0.7113879919052124
neutral,0,B@25,N1_halves,0.02165592461824417
neutral,0,A@50,B@50,-0.00273928907699883
neutral,0,A@50,A@75,0.9647922515869141
neutral,0,A@50,B@75,-0.028900304809212685
neutral,0,A@50,A@100,0.9447736740112305
neutral,0,A@50,B@100,-0.01977488212287426
neutral,0,A@50,A@125,0.9311453104019165
neutral,0,A@50,B@125,0.013532388024032116
neutral,0,A@50,N1_halves,-0.2649248540401459
neutral,0,B@50,A@75,0.008700116537511349
neutral,0,B@50,B@75,0.8864168524742126
neutral,0,B@50,A@100,0.00023962283739820123
neutral,0,B@50,B@100,0.8433946967124939
neutral,0,B@50,A@125,0.005365579854696989
neutral,0,B@50,B@125,0.8238433003425598
neutral,0,B@50,N1_halves,0.004390146117657423
neutral,0,A@75,B@75,-0.01585487462580204
neutral,0,A@75,A@100,0.9823886752128601
neutral,0,A@75,B@100,-0.013785785995423794
neutral,0,A@75,A@125,0.9697004556655884
neutral,0,A@75,B@125,0.0294853113591671
neutral,0,A@75,N1_halves,-0.3090682923793793
neutral,0,B@75,A@100,-0.019890546798706055
neutral,0,B@75,B@100,0.950555682182312
neutral,0,B@75,A@125,-0.006588036194443703
neutral,0,B@75,B@125,0.9247628450393677
neutral,0,B@75,N1_halves,0.07144239544868469
neutral,0,A@100,B@100,-0.018231840804219246
neutral,0,A@100,A@125,0.9897701740264893
neutral,0,A@100,B@125,0.029942674562335014
neutral,0,A@100,N1_halves,-0.3379521071910858
neutral,0,B@100,A@125,-0.007756870239973068
neutral,0,B@100,B@125,0.9697480201721191
neutral,0,B@100,N1_halves,0.0872531309723854
neutral,0,A@125,B@125,0.043169718235731125
neutral,0,A@125,N1_halves,-0.3471461236476898
neutral,0,B@125,N1_halves,0.033628080040216446
neutral,1,D,D_math,0.08759523928165436
neutral,1,D,D_math_full,0.2466641217470169
neutral,1,D,N3,0.1467600017786026
neutral,1,D,A,0.20012672245502472
neutral,1,D,B,0.02806876413524151
neutral,1,D,A_early@30,0.1606718897819519
neutral,1,D,A_early@2,0.1476365029811859
neutral,1,D,A@25,0.10422857105731964
neutral,1,D,B@25,0.05384455621242523
neutral,1,D,A@50,0.16173285245895386
neutral,1,D,B@50,0.1085875928401947
neutral,1,D,A@75,0.19107171893119812
neutral,1,D,B@75,0.0949370414018631
neutral,1,D,A@100,0.19449453055858612
neutral,1,D,B@100,0.048492126166820526
neutral,1,D,A@125,0.1842200756072998
neutral,1,D,B@125,0.062352899461984634
neutral,1,D,N1_halves,-0.17488817870616913
neutral,1,D_math,D_math_full,0.6286686658859253
neutral,1,D_math,N3,0.08014693111181259
neutral,1,D_math,A,0.08726082742214203
neutral,1,D_math,B,0.12966732680797577
neutral,1,D_math,A_early@30,0.2564449906349182
neutral,1,D_math,A_early@2,0.11425952613353729
neutral,1,D_math,A@25,0.09844134747982025
neutral,1,D_math,B@25,0.08840949833393097
neutral,1,D_math,A@50,0.13138851523399353
neutral,1,D_math,B@50,0.150640606880188
neutral,1,D_math,A@75,0.10706234723329544
neutral,1,D_math,B@75,0.11512181907892227
neutral,1,D_math,A@100,0.08777080476284027
neutral,1,D_math,B@100,0.14467822015285492
neutral,1,D_math,A@125,0.10709110647439957
neutral,1,D_math,B@125,0.14686934649944305
neutral,1,D_math,N1_halves,-0.17949099838733673
neutral,1,D_math_full,N3,0.09441470354795456
neutral,1,D_math_full,A,0.2655283510684967
neutral,1,D_math_full,B,0.05573238432407379
neutral,1,D_math_full,A_early@30,0.3497237265110016
neutral,1,D_math_full,A_early@2,0.11232496052980423
neutral,1,D_math_full,A@25,0.26862797141075134
neutral,1,D_math_full,B@25,0.043830350041389465
neutral,1,D_math_full,A@50,0.2960197627544403
neutral,1,D_math_full,B@50,0.13924294710159302
neutral,1,D_math_full,A@75,0.2869333326816559
neutral,1,D_math_full,B@75,0.0887470543384552
neutral,1,D_math_full,A@100,0.25976186990737915
neutral,1,D_math_full,B@100,0.08920709788799286
neutral,1,D_math_full,A@125,0.2714494466781616
neutral,1,D_math_full,B@125,0.09108742326498032
neutral,1,D_math_full,N1_halves,-0.1815647929906845
neutral,1,N3,A,0.0971267968416214
neutral,1,N3,B,0.15623004734516144
neutral,1,N3,A_early@30,0.153474360704422
neutral,1,N3,A_early@2,0.4026023745536804
neutral,1,N3,A@25,0.10760149359703064
neutral,1,N3,B@25,0.20306938886642456
neutral,1,N3,A@50,0.12487474083900452
neutral,1,N3,B@50,0.1821412742137909
neutral,1,N3,A@75,0.10254430770874023
neutral,1,N3,B@75,0.17393828928470612
neutral,1,N3,A@100,0.0910710021853447
neutral,1,N3,B@100,0.1826801747083664
neutral,1,N3,A@125,0.08199950307607651
neutral,1,N3,B@125,0.19187267124652863
neutral,1,N3,N1_halves,-0.08063153177499771
neutral,1,A,B,-0.12662182748317719
