arm,position,math_over_neutral
N1_halves,0,0.3328840296850906
N1_halves,1,0.6867210764618239
N1_halves,2,0.7623775032877108
N1_halves,3,0.7639366962783769
N1_halves,4,0.8398520463312611
D,0,0.9186991599319425
D,1,1.312971453154637
D,2,1.5574795373892523
D,3,1.301687283345334
D,4,1.1307842187324806
D_math,0,1.8389007524480538
D_math,1,13.137567671139248
D_math,2,9.821143848214517
D_math,3,8.911978729933521
D_math,4,6.396111899497145
D_math_full,0,1.7772653237060068
D_math_full,1,8.383116715278979
D_math_full,2,6.66875991311212
D_math_full,3,6.155361912177228
D_math_full,4,5.545296586343685
N3,0,1.6141685741325924
N3,1,4.105048611749162
N3,2,1.240632377041027
N3,3,1.753398457228502
N3,4,1.4246379773961422
A,0,1.2483838939070406
A,1,2.302395283831289
A,2,2.7812400289519803
A,3,3.101634399375178
A,4,2.8764404674317827
B,0,1.2427372867292272
B,1,2.434961586072741
B,2,1.6151153276880519
B,3,1.5245070174786666
B,4,1.3279119758259497
A_early@30,0,1.8617673828559254
A_early@30,1,3.104562540495248
A_early@30,2,2.3911090309832415
A_early@30,3,3.576945651437968
A_early@30,4,3.0900797000300115
A_early@2,0,3.289877366670363
A_early@2,1,4.063944988475407
A_early@2,2,1.2457527722453372
A_early@2,3,2.219364947657203
A_early@2,4,1.9202099102740988
A@25,0,1.1848305099371297
A@25,1,2.775202263317699
A@25,2,2.665435749823641
A@25,3,3.1758634064289963
A@25,4,3.001988863638262
B@25,0,1.4596872931573792
B@25,1,3.494403420226428
B@25,2,1.6919917367053523
B@25,3,1.7536401192589124
B@25,4,1.4754503669783001
A@50,0,1.2829875438471856
A@50,1,2.2796745041322133
A@50,2,2.8527809594998654
A@50,3,3.164573325835451
A@50,4,2.9017527897240774
B@50,0,1.4099786797770804
B@50,1,2.6957817209940145
B@50,2,1.7280040075875647
B@50,3,1.7304000443299348
B@50,4,1.4645220387140698
A@75,0,1.1955481820899476
A@75,1,2.4022083233168963
A@75,2,2.7820067605672585
A@75,3,3.0631827945077266
A@75,4,2.7862868349743017
B@75,0,1.2890104432691374
B@75,1,2.356640332696222
B@75,2,1.5525422981121366
B@75,3,1.5750523956176423
B@75,4,1.3743449211092609
A@100,0,1.2748242102454366
A@100,1,2.4003882166897204
A@100,2,2.780245598191416
A@100,3,3.0151390636685713
A@100,4,2.7914772586211822
B@100,0,1.3798012873327559
B@100,1,2.6088981192329066
B@100,2,1.5315298047064718
B@100,3,1.5332877317401967
B@100,4,1.3249211953842857
A@125,0,1.0754964647042569
A@125,1,2.417904558447828
A@125,2,2.8184396285208355
A@125,3,3.0632039800068442
A@125,4,2.8799291297242657
B@125,0,1.3050902286748818
B@125,1,2.663085350262551
B@125,2,1.6296706670213
B@125,3,1.545411872881245
B@125,4,1.3689111889346262
