arm,step,set,position,raw_norm,constancy,base_constancy,excess_constancy,base_norm,n,split_half_floor,cos_halves
N1_halves,0,neutral,0,0.32442015409469604,,0.9593096971511841,,20.752077102661133,500,,
D,250,neutral,0,7.449749946594238,0.9414205551147461,0.9593096971511841,-0.01788914203643799,20.752077102661133,500,0.12655028700828552,0.9998952746391296
D_s1,250,neutral,0,7.611084938049316,0.9454556107521057,0.9593096971511841,-0.01385408639907837,20.752077102661133,500,0.13355690240859985,0.9998995661735535
D_math_full,225,neutral,0,1.2261370420455933,0.912627637386322,0.9593096971511841,-0.04668205976486206,20.752077102661133,500,0.02676566317677498,0.9997652173042297
D_math_full_s1,225,neutral,0,1.415191888809204,0.9331759214401245,0.9593096971511841,-0.02613377571105957,20.752077102661133,500,0.03876873478293419,0.9996432662010193
A,150,neutral,0,0.18404169380664825,0.5248327255249023,0.9593096971511841,-0.43447697162628174,20.752077102661133,500,0.022200731560587883,0.9938648343086243
N3,0,neutral,0,0.06661699712276459,0.16257178783416748,0.9593096971511841,-0.7967379093170166,20.752077102661133,500,0.009564190171658993,0.9897734522819519
N1_halves,0,neutral,1,0.7467716336250305,,0.4127209782600403,,12.545119285583496,500,,
D,250,neutral,1,3.1506049633026123,0.277177631855011,0.4127209782600403,-0.1355433464050293,12.545119285583496,500,0.40043899416923523,0.9919968843460083
D_s1,250,neutral,1,3.2044248580932617,0.2789302170276642,0.4127209782600403,-0.1337907612323761,12.545119285583496,500,0.3988058269023895,0.9923478364944458
D_math_full,225,neutral,1,1.1991477012634277,0.2490159124135971,0.4127209782600403,-0.16370506584644318,12.545119285583496,500,0.1442278027534485,0.9961628317832947
D_math_full_s1,225,neutral,1,1.2632876634597778,0.2585505545139313,0.4127209782600403,-0.154170423746109,12.545119285583496,500,0.1498822718858719,0.9964882135391235
A,150,neutral,1,0.20970074832439423,0.2582438588142395,0.4127209782600403,-0.15447711944580078,12.545119285583496,500,0.02938399463891983,0.9929803013801575
N3,0,neutral,1,0.045775894075632095,0.07146395742893219,0.4127209782600403,-0.3412570208311081,12.545119285583496,500,0.013410886749625206,0.9636442065238953
