set,position,x,y,cos
neutral,0,D,D_s1,0.9901262521743774
neutral,0,D,D_math_full,-0.11621557176113129
neutral,0,D,D_math_full_s1,-0.21817819774150848
neutral,0,D,A,0.46310725808143616
neutral,0,D,N3,-0.1309957057237625
neutral,0,D,N1_halves,-0.420698881149292
neutral,0,D_s1,D_math_full,-0.11063013225793839
neutral,0,D_s1,D_math_full_s1,-0.2180938422679901
neutral,0,D_s1,A,0.4773464798927307
neutral,0,D_s1,N3,-0.1350090652704239
neutral,0,D_s1,N1_halves,-0.43331125378608704
neutral,0,D_math_full,D_math_full_s1,0.8745919466018677
neutral,0,D_math_full,A,0.01942441053688526
neutral,0,D_math_full,N3,-0.0019189916783943772
neutral,0,D_math_full,N1_halves,0.09687672555446625
neutral,0,D_math_full_s1,A,-0.05858821049332619
neutral,0,D_math_full_s1,N3,0.023209787905216217
neutral,0,D_math_full_s1,N1_halves,0.13288971781730652
neutral,0,A,N3,-0.04499693959951401
neutral,0,A,N1_halves,-0.34939661622047424
neutral,0,N3,N1_halves,0.08186004310846329
neutral,1,D,D_s1,0.9781837463378906
neutral,1,D,D_math_full,0.2466641217470169
neutral,1,D,D_math_full_s1,0.26394858956336975
neutral,1,D,A,0.20012672245502472
neutral,1,D,N3,0.1467600017786026
neutral,1,D,N1_halves,-0.17488817870616913
neutral,1,D_s1,D_math_full,0.2411797046661377
neutral,1,D_s1,D_math_full_s1,0.25727578997612
neutral,1,D_s1,A,0.19782404601573944
neutral,1,D_s1,N3,0.1429883986711502
neutral,1,D_s1,N1_halves,-0.17628683149814606
neutral,1,D_math_full,D_math_full_s1,0.9380058646202087
neutral,1,D_math_full,A,0.2655283510684967
neutral,1,D_math_full,N3,0.09441470354795456
neutral,1,D_math_full,N1_halves,-0.1815647929906845
neutral,1,D_math_full_s1,A,0.28039515018463135
neutral,1,D_math_full_s1,N3,0.10240276157855988
neutral,1,D_math_full_s1,N1_halves,-0.1833188384771347
neutral,1,A,N3,0.0971267968416214
neutral,1,A,N1_halves,0.01952551119029522
neutral,1,N3,N1_halves,-0.08063153177499771
neutral,2,D,D_s1,0.9742319583892822
neutral,2,D,D_math_full,0.1967247873544693
neutral,2,D,D_math_full_s1,0.20800286531448364
neutral,2,D,A,0.14491493999958038
neutral,2,D,N3,0.07173125445842743
neutral,2,D,N1_halves,-0.052560918033123016
neutral,2,D_s1,D_math_full,0.19148437678813934
neutral,2,D_s1,D_math_full_s1,0.2015846073627472
neutral,2,D_s1,A,0.15536369383335114
neutral,2,D_s1,N3,0.07704231142997742
neutral,2,D_s1,N1_halves,-0.05476049333810806
neutral,2,D_math_full,D_math_full_s1,0.9200618267059326
neutral,2,D_math_full,A,0.2591310739517212
neutral,2,D_math_full,N3,0.039781760424375534
neutral,2,D_math_full,N1_halves,-0.0914788469672203
neutral,2,D_math_full_s1,A,0.2451993077993393
neutral,2,D_math_full_s1,N3,0.02315574884414673
neutral,2,D_math_full_s1,N1_halves,-0.08486787229776382
neutral,2,A,N3,-0.0011555470991879702
neutral,2,A,N1_halves,-0.03448503836989403
neutral,2,N3,N1_halves,-0.05325448140501976
neutral,3,D,D_s1,0.9744236469268799
neutral,3,D,D_math_full,0.15823914110660553
neutral,3,D,D_math_full_s1,0.16802449524402618
neutral,3,D,A,0.1405007690191269
neutral,3,D,N3,-0.04180755466222763
neutral,3,D,N1_halves,-0.0033716061152517796
neutral,3,D_s1,D_math_full,0.15578870475292206
neutral,3,D_s1,D_math_full_s1,0.1626507043838501
neutral,3,D_s1,A,0.14690768718719482
neutral,3,D_s1,N3,-0.042190659791231155
neutral,3,D_s1,N1_halves,-0.001090787467546761
neutral,3,D_math_full,D_math_full_s1,0.9257821440696716
neutral,3,D_math_full,A,0.26018980145454407
neutral,3,D_math_full,N3,0.05911529064178467
neutral,3,D_math_full,N1_halves,-0.10505092889070511
neutral,3,D_math_full_s1,A,0.2497776299715042
neutral,3,D_math_full_s1,N3,0.060455068945884705
neutral,3,D_math_full_s1,N1_halves,-0.08170770108699799
neutral,3,A,N3,0.009668707847595215
neutral,3,A,N1_halves,-0.051123421639204025
neutral,3,N3,N1_halves,-0.052957382053136826
neutral,4,D,D_s1,0.9749974012374878
neutral,4,D,D_math_full,0.17987407743930817
neutral,4,D,D_math_full_s1,0.18522267043590546
neutral,4,D,A,0.16542251408100128
neutral,4,D,N3,0.0263433288782835
neutral,4,D,N1_halves,-0.0948333591222763
neutral,4,D_s1,D_math_full,0.17004233598709106
neutral,4,D_s1,D_math_full_s1,0.17455610632896423
neutral,4,D_s1,A,0.16554395854473114
neutral,4,D_s1,N3,0.026536423712968826
neutral,4,D_s1,N1_halves,-0.08817809075117111
neutral,4,D_math_full,D_math_full_s1,0.9045073986053467
neutral,4,D_math_full,A,0.17611271142959595
neutral,4,D_math_full,N3,0.027854129672050476
neutral,4,D_math_full,N1_halves,-0.1269700676202774
neutral,4,D_math_full_s1,A,0.17375564575195312
neutral,4,D_math_full_s1,N3,0.04325581341981888
neutral,4,D_math_full_s1,N1_halves,-0.11668282002210617
neutral,4,A,N3,0.0230751670897007
neutral,4,A,N1_halves,-0.10472243279218674
neutral,4,N3,N1_halves,-0.029488420113921165
math,0,D,D_s1,0.9864776134490967
math,0,D,D_math_full,-0.3362079858779907
math,0,D,D_math_full_s1,-0.314775675535202
math,0,D,A,0.48620036244392395
math,0,D,N3,0.12524199485778809
math,0,D,N1_halves,-0.6948480606079102
math,0,D_s1,D_math_full,-0.31483596563339233
math,0,D_s1,D_math_full_s1,-0.2977656126022339
math,0,D_s1,A,0.4941999912261963
math,0,D_s1,N3,0.11411044001579285
math,0,D_s1,N1_halves,-0.6787990927696228
math,0,D_math_full,D_math_full_s1,0.9392474293708801
math,0,D_math_full,A,-0.05794018507003784
math,0,D_math_full,N3,-0.03328431397676468
math,0,D_math_full,N1_halves,0.5141157507896423
math,0,D_math_full_s1,A,-0.05389592796564102
math,0,D_math_full_s1,N3,-0.033396463841199875
math,0,D_math_full_s1,N1_halves,0.464385986328125
math,0,A,N3,0.2991909980773926
math,0,A,N1_halves,-0.38640516996383667
math,0,N3,N1_halves,-0.11345433443784714
math,1,D,D_s1,0.951266884803772
math,1,D,D_math_full,0.24215997755527496
math,1,D,D_math_full_s1,0.22991175949573517
math,1,D,A,0.028986990451812744
math,1,D,N3,0.1090579628944397
math,1,D,N1_halves,-0.02430598810315132
math,1,D_s1,D_math_full,0.23486872017383575
math,1,D_s1,D_math_full_s1,0.22444088757038116
math,1,D_s1,A,0.03607386350631714
math,1,D_s1,N3,0.12501651048660278
math,1,D_s1,N1_halves,-0.04409462586045265
math,1,D_math_full,D_math_full_s1,0.9611125588417053
math,1,D_math_full,A,0.1417078971862793
math,1,D_math_full,N3,0.0612434521317482
math,1,D_math_full,N1_halves,-0.08931908011436462
math,1,D_math_full_s1,A,0.14863978326320648
math,1,D_math_full_s1,N3,0.06694601476192474
math,1,D_math_full_s1,N1_halves,-0.11039672046899796
math,1,A,N3,0.11305929720401764
math,1,A,N1_halves,0.07943270355463028
math,1,N3,N1_halves,-0.37913304567337036
math,2,D,D_s1,0.9702572822570801
math,2,D,D_math_full,0.1288079172372818
math,2,D,D_math_full_s1,0.13588862121105194
math,2,D,A,0.09763754159212112
math,2,D,N3,0.044849276542663574
math,2,D,N1_halves,0.04669990763068199
math,2,D_s1,D_math_full,0.13879305124282837
math,2,D_s1,D_math_full_s1,0.1454332172870636
math,2,D_s1,A,0.12122392654418945
math,2,D_s1,N3,0.05780557543039322
math,2,D_s1,N1_halves,0.06902216374874115
math,2,D_math_full,D_math_full_s1,0.9889299273490906
math,2,D_math_full,A,0.37700048089027405
math,2,D_math_full,N3,-0.06499433517456055
math,2,D_math_full,N1_halves,0.1510506272315979
math,2,D_math_full_s1,A,0.377095490694046
math,2,D_math_full_s1,N3,-0.06795226782560349
math,2,D_math_full_s1,N1_halves,0.16141285002231598
math,2,A,N3,0.014569715596735477
math,2,A,N1_halves,0.3208144009113312
math,2,N3,N1_halves,0.08772800862789154
math,3,D,D_s1,0.9764629006385803
math,3,D,D_math_full,0.13414745032787323
math,3,D,D_math_full_s1,0.14354319870471954
math,3,D,A,0.15068283677101135
math,3,D,N3,0.07745012640953064
math,3,D,N1_halves,0.011700996197760105
math,3,D_s1,D_math_full,0.12654614448547363
math,3,D_s1,D_math_full_s1,0.137052521109581
math,3,D_s1,A,0.1580827236175537
math,3,D_s1,N3,0.07753745466470718
math,3,D_s1,N1_halves,0.02273903600871563
math,3,D_math_full,D_math_full_s1,0.9900888204574585
math,3,D_math_full,A,0.5341503620147705
math,3,D_math_full,N3,-0.1387256383895874
math,3,D_math_full,N1_halves,0.03724430501461029
math,3,D_math_full_s1,A,0.5411015152931213
math,3,D_math_full_s1,N3,-0.13921569287776947
math,3,D_math_full_s1,N1_halves,0.04469287768006325
math,3,A,N3,-0.15292154252529144
math,3,A,N1_halves,0.15324442088603973
math,3,N3,N1_halves,0.019568031653761864
math,4,D,D_s1,0.978071391582489
math,4,D,D_math_full,0.07151736319065094
math,4,D,D_math_full_s1,0.08218257129192352
math,4,D,A,0.06750804930925369
math,4,D,N3,0.03233468905091286
math,4,D,N1_halves,-0.03350212424993515
math,4,D_s1,D_math_full,0.05763717368245125
math,4,D_s1,D_math_full_s1,0.06920233368873596
math,4,D_s1,A,0.06266399472951889
math,4,D_s1,N3,0.04159824922680855
math,4,D_s1,N1_halves,-0.04253106936812401
math,4,D_math_full,D_math_full_s1,0.9904444217681885
math,4,D_math_full,A,0.5665332674980164
math,4,D_math_full,N3,-0.10160395503044128
math,4,D_math_full,N1_halves,0.10805896669626236
math,4,D_math_full_s1,A,0.5786788463592529
math,4,D_math_full_s1,N3,-0.09079556167125702
math,4,D_math_full_s1,N1_halves,0.10702600330114365
math,4,A,N3,-0.03550981730222702
math,4,A,N1_halves,0.11371172219514847
