arm,position,math_over_neutral
N1_halves,0,0.3328840296850906
N1_halves,1,0.6867210764618239
N1_halves,2,0.7623775032877108
N1_halves,3,0.7639366962783769
N1_halves,4,0.8398520463312611
D,0,0.9186991599319425
D,1,1.312971453154637
D,2,1.5574795373892523
D,3,1.301687283345334
D,4,1.1307842187324806
D_s1,0,0.8548261634389831
D_s1,1,1.2781358377159135
D_s1,2,1.6432325632692233
D_s1,3,1.3657441160394193
D_s1,4,1.1807804326232358
D_math_full,0,1.7772653237060068
D_math_full,1,8.383116715278979
D_math_full,2,6.66875991311212
D_math_full,3,6.155361912177228
D_math_full,4,5.545296586343685
D_math_full_s1,0,1.5751712716769335
D_math_full_s1,1,8.154946979044043
D_math_full_s1,2,6.832166193184991
D_math_full_s1,3,6.136002279545314
D_math_full_s1,4,5.36547708623376
A,0,1.2483838939070406
A,1,2.302395283831289
A,2,2.7812400289519803
A,3,3.101634399375178
A,4,2.8764404674317827
N3,0,1.6141685741325924
N3,1,4.105048611749162
N3,2,1.240632377041027
N3,3,1.753398457228502
N3,4,1.4246379773961422
