set,position,c,a,norm_c,norm_a,c_over_a
neutral,0,C_s0,A_s0,7.054919795344657,0.18404170743939519,38.33326637478539
neutral,1,C_s0,A_s0,3.488133540905548,0.20970074671602984,16.633863233825622
neutral,2,C_s0,A_s0,2.434405705359514,0.18423678161336543,13.213461959340426
neutral,3,C_s0,A_s0,2.1685702950242436,0.16045376402265318,13.515234798219383
neutral,4,C_s0,A_s0,1.8091197392162548,0.14712190968210667,12.296739099739163
math,0,C_s0,A_s0,6.496273726488657,0.22975468078326042,28.27482645551379
math,1,C_s0,A_s0,5.379701363368303,0.4828140067690722,11.142388762431638
math,2,C_s0,A_s0,5.251120429855811,0.512406669064173,10.247954889904387
math,3,C_s0,A_s0,4.167403408418502,0.49766891050147566,8.37384719133695
math,4,C_s0,A_s0,3.4788300892325283,0.4231873895592714,8.22054289674264
neutral,0,C_s0,A_s1,7.054919795344657,0.2116337163072608,33.33551911502588
neutral,1,C_s0,A_s1,3.488133540905548,0.15453295911186535,22.57210087060141
neutral,2,C_s0,A_s1,2.434405705359514,0.14736631489757118,16.51941766374207
neutral,3,C_s0,A_s1,2.1685702950242436,0.12791167073827042,16.953654678324988
neutral,4,C_s0,A_s1,1.8091197392162548,0.12410332437604689,14.577528428927662
math,0,C_s0,A_s1,6.496273726488657,0.22808024502992333,28.482404189088665
math,1,C_s0,A_s1,5.379701363368303,0.3430438113394497,15.68225744216958
math,2,C_s0,A_s1,5.251120429855811,0.37944009244229054,13.839129112731964
math,3,C_s0,A_s1,4.167403408418502,0.3533788639678889,11.793018296638104
math,4,C_s0,A_s1,3.4788300892325283,0.3198058609606682,10.877943508547448
neutral,0,C_s1,A_s0,6.284144588302432,0.18404170743939519,34.14521999244001
neutral,1,C_s1,A_s0,3.4975166072002595,0.20970074671602984,16.678608264263772
neutral,2,C_s1,A_s0,2.4836510396684397,0.18423678161336543,13.480755677118621
neutral,3,C_s1,A_s0,2.172825899827159,0.16045376402265318,13.541757110293748
neutral,4,C_s1,A_s0,1.8080819682485365,0.14712190968210667,12.289685283146103
math,0,C_s1,A_s0,5.558923938509837,0.22975468078326042,24.195041074065692
math,1,C_s1,A_s0,5.203847195830996,0.4828140067690722,10.77816120260151
math,2,C_s1,A_s0,5.141363682647981,0.512406669064173,10.033756375649522
math,3,C_s1,A_s0,4.075476134653207,0.49766891050147566,8.189131466031416
math,4,C_s1,A_s0,3.429563451486007,0.4231873895592714,8.104124877297801
neutral,0,C_s1,A_s1,6.284144588302432,0.2116337163072608,29.693494486383187
neutral,1,C_s1,A_s1,3.4975166072002595,0.15453295911186535,22.63281973826976
neutral,2,C_s1,A_s1,2.4836510396684397,0.14736631489757118,16.85358720814002
neutral,3,C_s1,A_s1,2.172825899827159,0.12791167073827042,16.986924549466167
neutral,4,C_s1,A_s1,1.8080819682485365,0.12410332437604689,14.569166276076915
math,0,C_s1,A_s1,5.558923938509837,0.22808024502992333,24.372667338113942
math,1,C_s1,A_s1,5.203847195830996,0.3430438113394497,15.169628554183914
math,2,C_s1,A_s1,5.141363682647981,0.37944009244229054,13.549869360286266
math,3,C_s1,A_s1,4.075476134653207,0.3533788639678889,11.532880288571928
math,4,C_s1,A_s1,3.429563451486007,0.3198058609606682,10.723891804809034
